"Session","StartTime","EndTime"
"RestingBaseline",2018-07-18 14:08:34,2018-07-18 14:12:54
"BaselineWriting",2018-07-18 14:14:22,2018-07-18 14:19:22
"StressCondition",2018-07-18 14:20:09,2018-07-18 14:25:09
"DualTask",2018-07-18 14:26:43,2018-07-18 15:16:43
"Presentation",2018-07-18 15:25:38,2018-07-18 15:27:43
