Time,Timestamp,X,Y,Type
444.776,Thu Jun 28 10:55:08.450 2018,1219,696, 0
444.791,Thu Jun 28 10:55:08.466 2018,1218,696, 0
444.799,Thu Jun 28 10:55:08.473 2018,1218,696, 0
444.807,Thu Jun 28 10:55:08.481 2018,1217,697, 0
444.815,Thu Jun 28 10:55:08.489 2018,1216,698, 0
444.823,Thu Jun 28 10:55:08.497 2018,1213,699, 0
444.831,Thu Jun 28 10:55:08.505 2018,1207,703, 0
444.839,Thu Jun 28 10:55:08.514 2018,1197,710, 0
444.847,Thu Jun 28 10:55:08.522 2018,1186,717, 0
444.855,Thu Jun 28 10:55:08.530 2018,1174,723, 0
444.863,Thu Jun 28 10:55:08.537 2018,1165,730, 0
444.871,Thu Jun 28 10:55:08.545 2018,1155,736, 0
444.879,Thu Jun 28 10:55:08.553 2018,1146,741, 0
444.887,Thu Jun 28 10:55:08.561 2018,1138,746, 0
444.895,Thu Jun 28 10:55:08.569 2018,1130,750, 0
444.903,Thu Jun 28 10:55:08.578 2018,1123,755, 0
444.911,Thu Jun 28 10:55:08.586 2018,1118,757, 0
444.919,Thu Jun 28 10:55:08.594 2018,1116,759, 0
445.287,Thu Jun 28 10:55:08.962 2018,1115,759, 0
445.343,Thu Jun 28 10:55:09.018 2018,1114,759, 0
445.456,Thu Jun 28 10:55:09.130 2018,1114,759, 1
445.471,Thu Jun 28 10:55:09.146 2018,1114,759, 0
445.479,Thu Jun 28 10:55:09.153 2018,1114,759, 0
445.487,Thu Jun 28 10:55:09.161 2018,1114,759, 0
445.495,Thu Jun 28 10:55:09.169 2018,1116,758, 0
445.503,Thu Jun 28 10:55:09.177 2018,1119,757, 0
445.511,Thu Jun 28 10:55:09.185 2018,1121,756, 0
445.519,Thu Jun 28 10:55:09.193 2018,1123,754, 0
445.527,Thu Jun 28 10:55:09.202 2018,1124,754, 0
445.535,Thu Jun 28 10:55:09.210 2018,1126,753, 0
445.608,Thu Jun 28 10:55:09.282 2018,1126,753, 2
445.879,Thu Jun 28 10:55:09.553 2018,1126,753, 0
445.887,Thu Jun 28 10:55:09.561 2018,1127,753, 0
445.895,Thu Jun 28 10:55:09.570 2018,1127,753, 0
445.903,Thu Jun 28 10:55:09.578 2018,1127,753, 0
445.911,Thu Jun 28 10:55:09.586 2018,1127,755, 0
445.919,Thu Jun 28 10:55:09.593 2018,1126,761, 0
445.927,Thu Jun 28 10:55:09.601 2018,1124,770, 0
445.935,Thu Jun 28 10:55:09.609 2018,1122,778, 0
445.943,Thu Jun 28 10:55:09.617 2018,1121,785, 0
445.951,Thu Jun 28 10:55:09.625 2018,1119,792, 0
445.959,Thu Jun 28 10:55:09.634 2018,1117,799, 0
445.967,Thu Jun 28 10:55:09.642 2018,1116,806, 0
445.975,Thu Jun 28 10:55:09.649 2018,1114,813, 0
445.983,Thu Jun 28 10:55:09.657 2018,1112,820, 0
445.991,Thu Jun 28 10:55:09.665 2018,1110,827, 0
445.999,Thu Jun 28 10:55:09.673 2018,1109,835, 0
446.007,Thu Jun 28 10:55:09.682 2018,1107,842, 0
446.015,Thu Jun 28 10:55:09.690 2018,1105,852, 0
446.023,Thu Jun 28 10:55:09.698 2018,1103,862, 0
446.031,Thu Jun 28 10:55:09.706 2018,1102,874, 0
446.039,Thu Jun 28 10:55:09.713 2018,1099,888, 0
446.047,Thu Jun 28 10:55:09.721 2018,1097,903, 0
446.055,Thu Jun 28 10:55:09.729 2018,1096,923, 0
446.063,Thu Jun 28 10:55:09.737 2018,1094,945, 0
446.071,Thu Jun 28 10:55:09.745 2018,1091,971, 0
446.079,Thu Jun 28 10:55:09.754 2018,1088,1007, 0
446.087,Thu Jun 28 10:55:09.762 2018,1084,1044, 0
446.095,Thu Jun 28 10:55:09.770 2018,1077,1078, 0
446.103,Thu Jun 28 10:55:09.777 2018,1071,1113, 0
446.111,Thu Jun 28 10:55:09.785 2018,1064,1113, 0
446.119,Thu Jun 28 10:55:09.793 2018,1057,1114, 0
446.127,Thu Jun 28 10:55:09.801 2018,1050,1116, 0
446.135,Thu Jun 28 10:55:09.809 2018,1041,1119, 0
446.143,Thu Jun 28 10:55:09.818 2018,1029,1127, 0
446.151,Thu Jun 28 10:55:09.826 2018,1020,1119, 0
446.159,Thu Jun 28 10:55:09.834 2018,1009,1117, 0
