Time,Timestamp,X,Y,Type
5.706,Fri Jun 22 11:35:12.605 2018,1686,131, 0
5.713,Fri Jun 22 11:35:12.613 2018,1686,130, 0
5.721,Fri Jun 22 11:35:12.621 2018,1686,129, 0
5.73,Fri Jun 22 11:35:12.629 2018,1686,124, 0
5.737,Fri Jun 22 11:35:12.637 2018,1685,116, 0
5.745,Fri Jun 22 11:35:12.645 2018,1682,105, 0
5.753,Fri Jun 22 11:35:12.653 2018,1680,95, 0
5.761,Fri Jun 22 11:35:12.661 2018,1679,84, 0
5.769,Fri Jun 22 11:35:12.668 2018,1677,78, 0
7.009,Fri Jun 22 11:35:13.909 2018,1676,76, 0
333.329,Fri Jun 22 11:40:40.228 2018,1675,74, 0
333.337,Fri Jun 22 11:40:40.236 2018,1675,73, 0
333.345,Fri Jun 22 11:40:40.244 2018,1675,68, 0
333.353,Fri Jun 22 11:40:40.253 2018,1675,56, 0
333.361,Fri Jun 22 11:40:40.261 2018,1675,34, 0
333.369,Fri Jun 22 11:40:40.269 2018,1676,9, 0
333.377,Fri Jun 22 11:40:40.277 2018,1680,-18, 0
333.385,Fri Jun 22 11:40:40.285 2018,1684,-27, 0
333.393,Fri Jun 22 11:40:40.293 2018,1689,-20, 0
333.401,Fri Jun 22 11:40:40.300 2018,1694,-16, 0
333.409,Fri Jun 22 11:40:40.308 2018,1700,-15, 0
333.417,Fri Jun 22 11:40:40.316 2018,1709,-15, 0
333.425,Fri Jun 22 11:40:40.324 2018,1717,-13, 0
333.433,Fri Jun 22 11:40:40.332 2018,1726,-9, 0
333.441,Fri Jun 22 11:40:40.340 2018,1737,-11, 0
333.449,Fri Jun 22 11:40:40.348 2018,1747,-10, 0
333.457,Fri Jun 22 11:40:40.356 2018,1758,-7, 0
333.466,Fri Jun 22 11:40:40.365 2018,1767,-8, 0
333.473,Fri Jun 22 11:40:40.373 2018,1778,-10, 0
333.481,Fri Jun 22 11:40:40.381 2018,1785,-7, 0
333.489,Fri Jun 22 11:40:40.389 2018,1793,-9, 0
333.497,Fri Jun 22 11:40:40.397 2018,1800,-8, 0
333.505,Fri Jun 22 11:40:40.404 2018,1808,-7, 0
333.513,Fri Jun 22 11:40:40.412 2018,1813,-5, 0
333.521,Fri Jun 22 11:40:40.420 2018,1822,-10, 0
333.529,Fri Jun 22 11:40:40.428 2018,1830,-9, 0
333.537,Fri Jun 22 11:40:40.436 2018,1839,-9, 0
333.545,Fri Jun 22 11:40:40.444 2018,1847,-9, 0
333.553,Fri Jun 22 11:40:40.452 2018,1855,-10, 0
333.561,Fri Jun 22 11:40:40.460 2018,1864,-11, 0
333.569,Fri Jun 22 11:40:40.468 2018,1874,-11, 0
333.577,Fri Jun 22 11:40:40.476 2018,1885,-11, 0
333.585,Fri Jun 22 11:40:40.484 2018,1895,-11, 0
333.593,Fri Jun 22 11:40:40.492 2018,1904,-12, 0
333.601,Fri Jun 22 11:40:40.500 2018,1914,-11, 0
333.609,Fri Jun 22 11:40:40.508 2018,1923,-11, 0
333.617,Fri Jun 22 11:40:40.516 2018,1929,-11, 0
333.625,Fri Jun 22 11:40:40.524 2018,1927,-9, 0
333.633,Fri Jun 22 11:40:40.532 2018,1926,-9, 0
333.641,Fri Jun 22 11:40:40.540 2018,1927,-10, 0
333.649,Fri Jun 22 11:40:40.549 2018,1925,-7, 0
333.657,Fri Jun 22 11:40:40.557 2018,1923,-5, 0
333.665,Fri Jun 22 11:40:40.565 2018,1921,-3, 0
333.673,Fri Jun 22 11:40:40.573 2018,1921,-4, 0
333.681,Fri Jun 22 11:40:40.581 2018,1921,-2, 0
333.689,Fri Jun 22 11:40:40.589 2018,1920,-2, 0
333.697,Fri Jun 22 11:40:40.596 2018,1920,-1, 0
333.753,Fri Jun 22 11:40:40.652 2018,1920,-1, 0
333.761,Fri Jun 22 11:40:40.660 2018,1921,-1, 0
333.769,Fri Jun 22 11:40:40.668 2018,1925,-5, 0
333.777,Fri Jun 22 11:40:40.676 2018,1931,-9, 0
333.785,Fri Jun 22 11:40:40.684 2018,1934,-12, 0
333.793,Fri Jun 22 11:40:40.692 2018,1935,-12, 0
333.801,Fri Jun 22 11:40:40.700 2018,1939,-14, 0
333.809,Fri Jun 22 11:40:40.708 2018,1936,-12, 0
333.817,Fri Jun 22 11:40:40.716 2018,1936,-10, 0
333.825,Fri Jun 22 11:40:40.724 2018,1936,-10, 0
333.833,Fri Jun 22 11:40:40.732 2018,1933,-5, 0
333.841,Fri Jun 22 11:40:40.741 2018,1932,-3, 0
333.849,Fri Jun 22 11:40:40.749 2018,1929,0, 0
333.857,Fri Jun 22 11:40:40.757 2018,1928,3, 0
333.865,Fri Jun 22 11:40:40.765 2018,1928,11, 0
333.873,Fri Jun 22 11:40:40.773 2018,1927,22, 0
333.881,Fri Jun 22 11:40:40.780 2018,1928,43, 0
333.889,Fri Jun 22 11:40:40.789 2018,1926,68, 0
333.897,Fri Jun 22 11:40:40.796 2018,1925,96, 0
333.905,Fri Jun 22 11:40:40.804 2018,1923,127, 0
333.913,Fri Jun 22 11:40:40.812 2018,1922,164, 0
333.921,Fri Jun 22 11:40:40.820 2018,1919,213, 0
333.929,Fri Jun 22 11:40:40.828 2018,1914,264, 0
333.937,Fri Jun 22 11:40:40.836 2018,1907,311, 0
333.945,Fri Jun 22 11:40:40.844 2018,1894,367, 0
333.953,Fri Jun 22 11:40:40.852 2018,1881,416, 0
333.961,Fri Jun 22 11:40:40.860 2018,1868,465, 0
333.969,Fri Jun 22 11:40:40.868 2018,1858,509, 0
333.977,Fri Jun 22 11:40:40.876 2018,1846,550, 0
333.985,Fri Jun 22 11:40:40.884 2018,1834,590, 0
333.993,Fri Jun 22 11:40:40.892 2018,1822,635, 0
334.001,Fri Jun 22 11:40:40.900 2018,1810,676, 0
334.009,Fri Jun 22 11:40:40.909 2018,1797,725, 0
334.017,Fri Jun 22 11:40:40.917 2018,1782,766, 0
334.025,Fri Jun 22 11:40:40.925 2018,1765,808, 0
334.033,Fri Jun 22 11:40:40.932 2018,1747,851, 0
334.041,Fri Jun 22 11:40:40.941 2018,1728,890, 0
334.049,Fri Jun 22 11:40:40.949 2018,1706,930, 0
334.057,Fri Jun 22 11:40:40.956 2018,1683,969, 0
334.065,Fri Jun 22 11:40:40.964 2018,1664,1005, 0
334.073,Fri Jun 22 11:40:40.972 2018,1642,1045, 0
334.081,Fri Jun 22 11:40:40.980 2018,1621,1077, 0
334.089,Fri Jun 22 11:40:40.988 2018,1604,1105, 0
334.097,Fri Jun 22 11:40:40.996 2018,1590,1103, 0
334.105,Fri Jun 22 11:40:41.004 2018,1578,1096, 0
334.113,Fri Jun 22 11:40:41.012 2018,1570,1096, 0
334.121,Fri Jun 22 11:40:41.020 2018,1561,1095, 0
334.129,Fri Jun 22 11:40:41.028 2018,1553,1094, 0
334.137,Fri Jun 22 11:40:41.036 2018,1543,1094, 0
334.145,Fri Jun 22 11:40:41.044 2018,1535,1092, 0
334.153,Fri Jun 22 11:40:41.053 2018,1527,1092, 0
334.161,Fri Jun 22 11:40:41.061 2018,1519,1092, 0
334.169,Fri Jun 22 11:40:41.069 2018,1511,1091, 0
334.177,Fri Jun 22 11:40:41.077 2018,1505,1092, 0
334.185,Fri Jun 22 11:40:41.085 2018,1498,1090, 0
334.193,Fri Jun 22 11:40:41.093 2018,1494,1090, 0
334.201,Fri Jun 22 11:40:41.100 2018,1489,1088, 0
334.209,Fri Jun 22 11:40:41.108 2018,1485,1088, 0
334.217,Fri Jun 22 11:40:41.116 2018,1479,1089, 0
334.225,Fri Jun 22 11:40:41.124 2018,1467,1091, 0
334.233,Fri Jun 22 11:40:41.132 2018,1454,1088, 0
334.241,Fri Jun 22 11:40:41.140 2018,1440,1088, 0
334.249,Fri Jun 22 11:40:41.148 2018,1421,1085, 0
334.257,Fri Jun 22 11:40:41.156 2018,1396,1083, 0
334.265,Fri Jun 22 11:40:41.164 2018,1355,1079, 0
334.273,Fri Jun 22 11:40:41.172 2018,1308,1075, 0
334.281,Fri Jun 22 11:40:41.180 2018,1254,1070, 0
334.289,Fri Jun 22 11:40:41.188 2018,1184,1064, 0
334.297,Fri Jun 22 11:40:41.196 2018,1121,1059, 0
334.305,Fri Jun 22 11:40:41.204 2018,1072,1056, 0
334.313,Fri Jun 22 11:40:41.212 2018,1037,1052, 0
334.321,Fri Jun 22 11:40:41.220 2018,1017,1049, 0
334.33,Fri Jun 22 11:40:41.229 2018,1001,1044, 0
334.337,Fri Jun 22 11:40:41.236 2018,986,1037, 0
334.345,Fri Jun 22 11:40:41.244 2018,975,1029, 0
334.353,Fri Jun 22 11:40:41.253 2018,966,1022, 0
334.361,Fri Jun 22 11:40:41.261 2018,958,1014, 0
334.369,Fri Jun 22 11:40:41.268 2018,954,1007, 0
334.377,Fri Jun 22 11:40:41.276 2018,950,1002, 0
334.385,Fri Jun 22 11:40:41.284 2018,949,996, 0
334.393,Fri Jun 22 11:40:41.292 2018,948,991, 0
334.401,Fri Jun 22 11:40:41.300 2018,948,986, 0
334.409,Fri Jun 22 11:40:41.308 2018,949,982, 0
334.417,Fri Jun 22 11:40:41.316 2018,952,977, 0
334.425,Fri Jun 22 11:40:41.324 2018,954,973, 0
334.433,Fri Jun 22 11:40:41.332 2018,956,970, 0
334.441,Fri Jun 22 11:40:41.340 2018,957,968, 0
334.449,Fri Jun 22 11:40:41.348 2018,957,966, 0
334.457,Fri Jun 22 11:40:41.356 2018,957,964, 0
334.465,Fri Jun 22 11:40:41.364 2018,957,962, 0
334.473,Fri Jun 22 11:40:41.372 2018,957,960, 0
334.481,Fri Jun 22 11:40:41.380 2018,956,958, 0
334.489,Fri Jun 22 11:40:41.388 2018,956,956, 0
334.497,Fri Jun 22 11:40:41.396 2018,956,954, 0
334.505,Fri Jun 22 11:40:41.404 2018,956,952, 0
334.513,Fri Jun 22 11:40:41.412 2018,956,950, 0
334.521,Fri Jun 22 11:40:41.420 2018,956,948, 0
334.529,Fri Jun 22 11:40:41.428 2018,957,944, 0
334.537,Fri Jun 22 11:40:41.436 2018,957,939, 0
334.545,Fri Jun 22 11:40:41.444 2018,958,932, 0
334.553,Fri Jun 22 11:40:41.452 2018,958,923, 0
334.561,Fri Jun 22 11:40:41.460 2018,958,911, 0
334.569,Fri Jun 22 11:40:41.469 2018,958,899, 0
334.577,Fri Jun 22 11:40:41.477 2018,958,883, 0
334.585,Fri Jun 22 11:40:41.485 2018,958,869, 0
334.593,Fri Jun 22 11:40:41.492 2018,958,857, 0
334.601,Fri Jun 22 11:40:41.500 2018,958,845, 0
334.609,Fri Jun 22 11:40:41.508 2018,956,833, 0
334.617,Fri Jun 22 11:40:41.516 2018,955,821, 0
334.625,Fri Jun 22 11:40:41.524 2018,953,810, 0
334.633,Fri Jun 22 11:40:41.532 2018,952,800, 0
334.641,Fri Jun 22 11:40:41.540 2018,952,788, 0
334.649,Fri Jun 22 11:40:41.548 2018,950,778, 0
334.657,Fri Jun 22 11:40:41.556 2018,949,767, 0
334.665,Fri Jun 22 11:40:41.564 2018,948,759, 0
334.673,Fri Jun 22 11:40:41.572 2018,945,750, 0
334.681,Fri Jun 22 11:40:41.580 2018,943,742, 0
334.689,Fri Jun 22 11:40:41.588 2018,940,733, 0
334.697,Fri Jun 22 11:40:41.596 2018,939,725, 0
334.705,Fri Jun 22 11:40:41.604 2018,938,716, 0
334.713,Fri Jun 22 11:40:41.612 2018,936,710, 0
334.721,Fri Jun 22 11:40:41.620 2018,936,705, 0
334.729,Fri Jun 22 11:40:41.628 2018,936,701, 0
334.737,Fri Jun 22 11:40:41.636 2018,936,696, 0
334.745,Fri Jun 22 11:40:41.644 2018,936,693, 0
334.753,Fri Jun 22 11:40:41.653 2018,936,690, 0
334.793,Fri Jun 22 11:40:41.692 2018,936,688, 0
334.801,Fri Jun 22 11:40:41.700 2018,936,687, 0
334.809,Fri Jun 22 11:40:41.708 2018,936,686, 0
334.817,Fri Jun 22 11:40:41.716 2018,936,684, 0
334.825,Fri Jun 22 11:40:41.724 2018,936,681, 0
334.833,Fri Jun 22 11:40:41.732 2018,936,678, 0
334.841,Fri Jun 22 11:40:41.740 2018,937,675, 0
334.849,Fri Jun 22 11:40:41.748 2018,937,673, 0
335.106,Fri Jun 22 11:40:42.005 2018,937,673, 1
335.113,Fri Jun 22 11:40:42.012 2018,937,671, 0
335.121,Fri Jun 22 11:40:42.020 2018,937,670, 0
335.129,Fri Jun 22 11:40:42.028 2018,937,670, 0
335.137,Fri Jun 22 11:40:42.036 2018,937,670, 0
335.145,Fri Jun 22 11:40:42.044 2018,936,670, 0
335.153,Fri Jun 22 11:40:42.052 2018,935,670, 0
335.161,Fri Jun 22 11:40:42.060 2018,934,670, 0
335.169,Fri Jun 22 11:40:42.068 2018,933,670, 0
335.273,Fri Jun 22 11:40:42.172 2018,933,670, 2
365.553,Fri Jun 22 11:41:12.452 2018,933,669, 0
365.561,Fri Jun 22 11:41:12.460 2018,933,668, 0
365.569,Fri Jun 22 11:41:12.468 2018,932,665, 0
365.577,Fri Jun 22 11:41:12.476 2018,929,661, 0
365.585,Fri Jun 22 11:41:12.484 2018,928,656, 0
365.593,Fri Jun 22 11:41:12.492 2018,927,651, 0
365.601,Fri Jun 22 11:41:12.500 2018,927,648, 0
365.609,Fri Jun 22 11:41:12.508 2018,927,646, 0
365.617,Fri Jun 22 11:41:12.517 2018,928,645, 0
365.625,Fri Jun 22 11:41:12.525 2018,931,643, 0
365.633,Fri Jun 22 11:41:12.532 2018,937,639, 0
365.641,Fri Jun 22 11:41:12.540 2018,952,633, 0
365.649,Fri Jun 22 11:41:12.548 2018,970,628, 0
365.657,Fri Jun 22 11:41:12.556 2018,996,622, 0
365.665,Fri Jun 22 11:41:12.564 2018,1024,616, 0
365.673,Fri Jun 22 11:41:12.572 2018,1063,609, 0
365.681,Fri Jun 22 11:41:12.580 2018,1110,605, 0
365.689,Fri Jun 22 11:41:12.588 2018,1147,602, 0
365.697,Fri Jun 22 11:41:12.596 2018,1181,600, 0
