Time,BtoB
,2920
,2900
,2950
,3060
,3030
,3340
,3440
,4340
,3160
,2630
,3330
,2750
,2730
,2740
,3440
,2910
,2290
,2940
,2030
,2710
,3230
,2760
,3300
,3370
,3080
,2270
,2960
,2820
,2610
,2880
,2140
,3070
,3090
,3170
,2650
,2130
,3090
,3100
,1870
,1730
,560
,3070
,2570
,3460
,2900
,3330
,2540
,2900
,3500
,4060
,3290
,5520
,2820
,2850
,1650
,2430
,3400
,2680
,3040
,2690
,2870
,3160
,2580
,1890
,2340
,2840
,2060
,3170
,2340
,5710
,1910
,3100
,1490
,2630
,3240
,2750
,2940
,2650
,2250
,2880
,2660
,3180
,2840
,2920
,2420
,2310
,3030
,2750
,3140
,2380
,2620
,2630
,2160
,1970
,2150
,2090
,1960
,3210
,2280
,3200
,2590
,2970
,2920
,2640
,2950
,2410
,2870
,4010
,2130
,2320
,2790
,2560
,2770
,2930
,2460
,2510
,2720
,2520
,2770
,2660
,2260
,2060
,2940
,4160
,7790
,2280
,4300
,3720
,2600
,2790
,3010
,3250
,2510
,2390
,2560
,3030
,1890
,2530
,2640
,2600
,2480
,2670
,2620
,2110
,2460
,1660
,2550
,3060
,2700
,2700
,1900
,2720
,4460
,2790
,2600
,1950
,2150
,2340
,1870
,1970
,3090
,2440
,2620
,2930
,2200
,2090
,2960
,2340
,1910
,2700
,3130
,2270
,1570
,2010
,1930
,1850
,1680
,1730
,1990
,1470
,1860
,2570
,2530
,2540
,2460
,2180
,3470
,1740
,6630
,2270
,3330
,2440
,3410
,2270
,3750
,3420
,2260
,2300
,1960
,2070
,2290
,2020
,2510
,2790
,1990
,2810
,1940
,2330
,2560
,2260
,2330
,1710
,2750
,2610
,2200
,4730
,2010
,2540
,1710
,2370
,2610
,3250
,2580
,2870
,2320
,3520
,2660
,3370
,1760
,3000
,2890
,2940
,2130
,2580
,2720
,2660
,3210
,2530
,2490
,2540
,2970
,2920
,2770
,2420
,2260
,2180
,2870
,2750
,2780
,2080
,2010
,2470
,2110
,2130
,2730
,2260
,2750
,3050
,2650
,2660
,3540
,2050
,2910
,3070
,2600
,1930
,3220
,2470
,1690
,2030
,2170
,2570
,2510
,2620
,2400
,2180
,1870
,2060
,2660
,3200
,2620
,2290
,4130
,7780
,3230
,3470
,3290
,2260
,4960
,3150
,2710
,3530
,3050
,5450
,2690
,3050
,3420
,2470
,2580
,3000
,2840
,2430
,3100
,3620
,2210
,3000
,2210
,2090
,4010
,2700
,3620
,2310
,3500
,4740
,6580
,2450
,1750
,5400
,2210
,2500
,1010
,2060
,2750
,3050
,1780
,2190
,2560
,2330
,2820
,3220
,2920
,1120
,2020
,1560
,1280
,2100
,2960
,2860
,2910
,2710
,2770
,3890
,2650
,2740
,3410
,2430
,2360
,4220
,3190
,6450
,5750
,13930
,2440
,1400
,2060
,2460
,2340
,2030
,2880
,4400
,5790
,2510
,2950
,1760
,2430
,2070
,2520
,2530
,3420
,2960
,2380
,2620
,1880
,2270
,3080
,2460
,2450
,2300
,2260
,2590
,2720
,2200
,2660
,3290
,2240
,2290
,2500
,2860
,2630
,1630
,1140
,2470
,3590
,2520
,2440
,2300
,1620
,2620
,1720
,6150
,4370
,4450
,2930
,4510
,1440
,3230
,7620
,2440
,5290
,4730
,5380
,1290
,2650
,3320
,2820
,2310
,2750
,1980
,1010
,2020
,2730
,2400
,3560
,2030
,2840
,2310
,2560
,3110
,1680
,1640
,2120
,2560
,2400
,1800
,1940
,2530
,2330
,2210
,2470
,2250
,2000
,2890
,2190
,2320
,2340
,2580
,1380
,2680
,1640
,2390
,2870
,3120
,2910
,1530
,1850
,7670
,2710
,3070
,9740
,5040
,4060
,4170
,3910
,2440
,3610
,2190
,2800
,2280
,2360
,2280
,2650
,2410
,2290
,2210
,2250
,2600
,2720
,2330
,2670
,2680
,2850
,1960
,2860
,2740
,2840
,2790
,2450
,2590
,2160
,2350
,2920
,2490
,2520
,2460
,2740
,2620
,2630
,2090
,2170
,2180
,2360
,3460
,2050
,3540
,2200
,2540
,2360
,2720
,2110
,2120
,2460
,2350
,3250
,3480
,2920
,2690
,2370
,3420
,2730
,2690
,2660
,2070
,2400
,2330
,2770
,2730
,2260
,2570
,4980
,2010
,480
,1040
,2180
,4530
,870
,3530
,3780
,1890
,1670
,10130
,2010
,5550
,5820
,3140
,2270
,2430
,2330
,2710
,5940
,2940
,2780
,2480
,3890
,2800
,3080
,2290
,2960
,2030
,2230
,2570
,3000
,4970
,3440
,5480
,5770
,10630
,1220
,2370
,2010
,1160
,1790
,3380
,2650
,7610
,2340
,2570
,3560
,2520
,2100
,2810
,2660
,3130
,3500
,2730
,2570
,2880
,2170
,2220
,2930
,2610
,2950
,2590
,2600
,2810
,2890
,3650
,2740
,2480
,4350
,7810
,1470
,2260
,1870
,2610
,1510
,3260
,5380
,3640
,2000
,3090
,2780
,3170
,2550
