"Session","StartTime","EndTime"
"RestingBaseline",2018-07-18 10:51:00,2018-07-18 10:54:00
"BaselineWriting",2018-07-18 10:55:50,2018-07-18 11:00:50
"StressCondition",2018-07-18 11:01:20,2018-07-18 11:06:20
"DualTask",2018-07-18 11:08:43,2018-07-18 11:58:43
"Presentation",2018-07-18 12:12:42,2018-07-18 12:15:03
