"Session","StartTime","EndTime"
"RestingBaseline",2018-07-02 15:40:44,2018-07-02 15:44:47
"BaselineWriting",2018-07-02 15:45:40,2018-07-02 15:50:40
"StressCondition",2018-07-02 15:53:58,2018-07-02 15:58:58
"DualTask",2018-07-02 16:00:08,2018-07-02 16:50:08
"Presentation",2018-07-02 17:00:50,2018-07-02 17:03:11
