Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,3.605368,Tue Jul 10 13:44:06.234 2018,182.1833,Tue Jul 10 13:47:04.812 2018
Session 2,4532.411,Tue Jul 10 14:59:35.040 2018,5366.171,Tue Jul 10 15:13:28.800 2018
