Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,113.2139,Fri Sep 07 16:40:14.165 2018,356.7819,Fri Sep 07 16:44:14.733 2018
Session 2,4804.561,Fri Sep 07 18:04:39.512 2018,4874.825,Fri Sep 07 18:08:30.776 2018
