Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,2.596172,Wed Aug 01 13:44:37.614 2018,178.8528,Wed Aug 01 13:47:33.870 2018
Session 2,4501.161,Wed Aug 01 14:59:36.179 2018,4772.678,Wed Aug 01 15:04:07.696 2018
