"Session","StartTime","EndTime"
"RestingBaseline",2018-07-18 13:22:42,2018-07-18 13:26:42
"BaselineWriting",2018-07-18 13:30:14,2018-07-18 13:35:14
"StressCondition",2018-07-18 13:38:37,2018-07-18 13:43:37
"DualTask",2018-07-18 13:44:31,2018-07-18 14:34:31
"Presentation",2018-07-18 14:40:40,2018-07-18 14:42:46
