"Session","StartTime","EndTime"
"RestingBaseline",2018-07-10 16:47:38,2018-07-10 16:50:38
"BaselineWriting",2018-07-10 16:51:50,2018-07-10 16:56:50
"StressCondition",2018-07-10 16:58:33,2018-07-10 17:03:33
"DualTask",2018-07-10 17:03:50,2018-07-10 17:53:50
"Presentation",2018-07-10 18:01:52,2018-07-10 18:06:04
