"Session","StartTime","EndTime"
"RestingBaseline",2018-07-02 10:46:18,2018-07-02 10:49:02
"BaselineWriting",2018-07-02 10:49:57,2018-07-02 10:54:57
"StressCondition",2018-07-02 10:57:11,2018-07-02 11:02:11
"DualTask",2018-07-02 11:02:56,2018-07-02 11:52:56
"Presentation",2018-07-02 12:02:20,2018-07-02 12:04:27
