Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
5.499,Tue Jul 03 01:43:19.443 2018,0,0,0,0,
5.524,Tue Jul 03 01:43:19.468 2018,0,0,0,0,
5.549,Tue Jul 03 01:43:19.493 2018,0,0,0,0,
5.574,Tue Jul 03 01:43:19.518 2018,0,0,0,0,
5.598,Tue Jul 03 01:43:19.541 2018,0,0,0,0,
5.602,Tue Jul 03 01:43:19.545 2018,0,0,0,0,
5.605,Tue Jul 03 01:43:19.548 2018,0,0,0,0,
5.609,Tue Jul 03 01:43:19.552 2018,0,0,0,0,
5.612,Tue Jul 03 01:43:19.555 2018,0,0,0,0,
5.615,Tue Jul 03 01:43:19.559 2018,0,0,0,0,
5.619,Tue Jul 03 01:43:19.562 2018,0,0,0,0,
5.622,Tue Jul 03 01:43:19.565 2018,0,0,0,0,
5.626,Tue Jul 03 01:43:19.569 2018,0,0,0,0,
5.628,Tue Jul 03 01:43:19.572 2018,0,0,0,0,
5.632,Tue Jul 03 01:43:19.575 2018,0,0,0,0,
5.634,Tue Jul 03 01:43:19.577 2018,0,0,0,0,
5.639,Tue Jul 03 01:43:19.582 2018,0,0,0,0,
5.664,Tue Jul 03 01:43:19.607 2018,0,0,0,0,
5.689,Tue Jul 03 01:43:19.632 2018,0,0,0,0,
5.714,Tue Jul 03 01:43:19.657 2018,0,0,0,0,
5.739,Tue Jul 03 01:43:19.683 2018,0,0,0,0,
5.764,Tue Jul 03 01:43:19.708 2018,0,0,0,0,
5.77,Tue Jul 03 01:43:19.714 2018,0,0,0,0,
5.773,Tue Jul 03 01:43:19.716 2018,0,0,0,0,
5.775,Tue Jul 03 01:43:19.719 2018,0,0,0,0,
5.778,Tue Jul 03 01:43:19.721 2018,0,0,0,0,
5.78,Tue Jul 03 01:43:19.724 2018,0,0,0,0,
5.783,Tue Jul 03 01:43:19.727 2018,0,0,0,0,
5.786,Tue Jul 03 01:43:19.730 2018,0,0,0,0,
5.79,Tue Jul 03 01:43:19.733 2018,0,0,0,0,
5.793,Tue Jul 03 01:43:19.737 2018,0,0,0,0,
5.795,Tue Jul 03 01:43:19.739 2018,0,0,0,0,
5.798,Tue Jul 03 01:43:19.741 2018,0,0,0,0,
5.802,Tue Jul 03 01:43:19.745 2018,0,0,0,0,
5.81,Tue Jul 03 01:43:19.754 2018,0,0,0,0,
5.835,Tue Jul 03 01:43:19.779 2018,0,0,0,0,
5.86,Tue Jul 03 01:43:19.804 2018,0,0,0,0,
5.885,Tue Jul 03 01:43:19.829 2018,0,0,0,0,
5.91,Tue Jul 03 01:43:19.854 2018,0,0,0,0,
5.935,Tue Jul 03 01:43:19.879 2018,0,0,0,0,
5.961,Tue Jul 03 01:43:19.905 2018,0,0,0,0,
5.986,Tue Jul 03 01:43:19.930 2018,0,0,0,0,
6.011,Tue Jul 03 01:43:19.955 2018,0,0,0,0,
6.036,Tue Jul 03 01:43:19.980 2018,0,0,0,0,
6.062,Tue Jul 03 01:43:20.005 2018,0,0,0,0,
6.087,Tue Jul 03 01:43:20.030 2018,0,0,0,0,
6.111,Tue Jul 03 01:43:20.055 2018,0,0,0,0,
6.137,Tue Jul 03 01:43:20.080 2018,0,0,0,0,
6.158,Tue Jul 03 01:43:20.102 2018,0,0,0,0,
6.161,Tue Jul 03 01:43:20.104 2018,0,0,0,0,
6.163,Tue Jul 03 01:43:20.107 2018,0,0,0,0,
6.165,Tue Jul 03 01:43:20.109 2018,0,0,0,0,
6.168,Tue Jul 03 01:43:20.112 2018,0,0,0,0,
6.171,Tue Jul 03 01:43:20.115 2018,0,0,0,0,
6.174,Tue Jul 03 01:43:20.118 2018,0,0,0,0,
6.178,Tue Jul 03 01:43:20.122 2018,0,0,0,0,
6.182,Tue Jul 03 01:43:20.125 2018,0,0,0,0,
6.184,Tue Jul 03 01:43:20.128 2018,0,0,0,0,
6.187,Tue Jul 03 01:43:20.130 2018,0,0,0,0,
6.189,Tue Jul 03 01:43:20.133 2018,0,0,0,0,
6.193,Tue Jul 03 01:43:20.136 2018,0,0,0,0,
6.202,Tue Jul 03 01:43:20.145 2018,0,0,0,0,
6.227,Tue Jul 03 01:43:20.170 2018,0,0,0,0,
6.252,Tue Jul 03 01:43:20.196 2018,0,0,0,0,
6.277,Tue Jul 03 01:43:20.221 2018,0,0,0,0,
6.302,Tue Jul 03 01:43:20.246 2018,0,0,0,0,
6.33,Tue Jul 03 01:43:20.273 2018,0,0,0,0,
6.355,Tue Jul 03 01:43:20.298 2018,0,0,0,0,
6.36,Tue Jul 03 01:43:20.304 2018,0,0,0,0,
6.363,Tue Jul 03 01:43:20.306 2018,0,0,0,0,
6.366,Tue Jul 03 01:43:20.309 2018,0,0,0,0,
6.369,Tue Jul 03 01:43:20.312 2018,0,0,0,0,
6.372,Tue Jul 03 01:43:20.315 2018,0,0,0,0,
6.375,Tue Jul 03 01:43:20.318 2018,0,0,0,0,
