"Session","StartTime","EndTime"
"RestingBaseline",2018-07-27 14:11:31,2018-07-27 14:15:56
"BaselineWriting",2018-07-27 14:16:44,2018-07-27 14:21:44
"StressCondition",2018-07-27 14:22:03,2018-07-27 14:27:03
"DualTask",2018-07-27 14:28:19,2018-07-27 15:18:19
"Presentation",2018-07-27 15:28:12,2018-07-27 15:30:33
