"Session","StartTime","EndTime"
"RestingBaseline",2018-08-01 10:44:51,2018-08-01 10:47:12
"BaselineWriting",2018-08-01 10:48:00,2018-08-01 10:53:00
"StressCondition",2018-08-01 10:55:16,2018-08-01 11:00:16
"DualTask",2018-08-01 11:01:30,2018-08-01 11:51:30
"Presentation",2018-08-01 12:02:33,2018-08-01 12:06:42
