1529684100.000000, 1529684100.000000, 1529684100.000000
32.000000, 32.000000, 32.000000
23,2,56
32,-1,58
21,-14,60
33,4,42
26,-11,40
37,-6,55
27,-6,49
27,-1,45
14,-7,59
7,3,55
13,-4,66
6,-2,59
2,-1,62
10,-2,62
15,1,60
-7,6,68
0,5,66
1,3,67
-1,4,58
-2,6,55
1,1,58
0,0,72
-16,-7,61
8,23,68
-14,14,48
-6,16,55
-2,17,81
-11,14,77
-10,16,48
-1,0,45
3,18,50
12,17,59
4,42,59
-10,50,54
15,33,55
5,36,25
-19,62,65
-11,61,22
-3,46,48
-5,80,45
-1,68,43
-9,54,48
-15,46,32
-12,30,44
-11,-12,75
-16,11,60
-14,14,56
-16,16,60
-9,13,70
-7,19,53
-8,20,62
-6,11,49
-8,65,67
-19,57,38
-15,51,61
-21,33,60
-8,33,49
-6,35,57
0,35,60
-4,30,57
0,37,55
2,36,55
3,37,55
1,38,54
-16,37,41
-6,35,56
-4,27,46
-11,43,49
-6,38,50
-10,37,40
-17,39,41
-17,43,39
-18,41,40
-25,47,42
-26,50,33
-24,36,31
-43,54,27
-30,46,22
-27,48,17
-40,48,9
-30,45,7
-28,47,-1
-23,62,-12
-22,54,-5
-22,58,-11
-27,67,-20
-17,58,-17
-12,52,-23
-18,59,-26
-20,66,-21
-17,52,-23
-7,53,-31
-18,58,-29
-25,58,-21
-26,59,-35
-30,45,-33
-23,41,-41
-27,64,-30
-26,46,-28
-23,50,-26
-27,56,-30
-31,52,-27
-27,49,-29
-25,56,-32
-34,54,-33
-33,53,-33
-20,46,-29
-21,48,-24
-27,39,-25
-31,43,-28
-30,55,-36
-31,50,-33
-32,50,-37
-28,48,-37
-24,48,-35
-22,44,-35
-18,46,-36
-22,45,-39
-24,47,-40
-22,45,-39
-22,45,-40
-21,48,-38
-21,46,-39
-22,45,-38
-20,45,-38
-16,46,-37
-19,45,-39
-19,44,-39
-16,46,-41
-20,46,-42
-19,46,-40
-13,45,-41
-14,44,-42
-17,45,-41
-16,43,-41
-14,43,-42
-17,46,-44
-17,45,-43
-17,45,-45
-15,45,-45
-34,47,-46
-19,46,-48
-15,47,-45
-15,39,-43
-16,43,-42
-16,42,-42
-13,42,-43
-15,43,-43
-15,43,-43
-16,44,-44
-16,45,-45
-17,44,-45
-16,44,-45
-15,43,-45
-16,43,-45
-17,42,-44
-17,44,-43
-15,44,-45
-15,44,-44
-16,43,-43
-15,44,-44
-14,39,-44
-11,40,-43
-13,43,-44
-15,44,-45
-14,46,-44
-13,42,-43
-14,43,-44
-13,42,-45
-14,40,-45
-14,40,-46
-19,50,-53
-11,28,-42
-13,41,-43
-11,43,-45
-25,47,-48
-18,38,-44
-21,34,-55
-23,44,-49
-22,40,-50
-19,33,-48
-18,35,-47
-19,37,-46
-18,36,-44
-14,36,-43
-15,48,-41
-17,43,-43
-13,43,-42
-16,48,-44
-15,43,-46
-16,41,-48
-17,43,-52
-15,44,-47
-16,45,-52
-12,47,-49
-10,34,-43
-13,33,-44
-16,45,-46
-18,43,-46
-17,40,-50
-16,44,-50
-17,46,-45
-9,22,-40
-15,43,-47
-15,38,-51
-15,36,-50
-15,37,-49
-14,38,-47
-15,38,-48
-13,39,-49
-13,38,-50
-12,39,-48
-13,43,-48
-13,40,-46
-12,43,-48
-12,40,-49
-12,40,-48
-16,40,-49
-13,36,-50
-11,35,-44
-13,42,-46
-12,40,-44
-14,40,-48
-11,42,-45
-13,43,-47
-14,46,-47
-13,42,-46
-14,41,-48
-15,41,-45
-14,39,-45
-14,39,-43
-15,41,-44
-15,41,-44
-13,41,-43
-17,42,-46
-17,43,-46
-15,43,-47
-18,40,-46
-17,41,-46
-16,41,-46
-15,41,-45
-16,41,-46
-16,43,-46
-13,41,-42
-18,41,-44
-18,40,-47
-18,41,-44
-18,42,-44
-14,40,-37
-18,43,-44
-19,43,-44
-19,43,-45
-20,44,-43
-20,43,-44
-19,42,-42
-20,43,-41
-20,42,-41
-19,41,-41
-16,38,-40
-16,39,-40
-15,41,-43
-18,41,-44
-17,40,-44
-20,43,-43
-20,44,-42
-21,44,-44
-21,42,-44
-22,44,-45
-19,43,-46
-18,42,-46
-18,42,-44
-18,43,-43
-19,44,-44
-19,43,-42
-18,44,-43
-18,43,-43
-18,43,-41
-17,43,-45
-18,43,-44
-18,43,-45
-15,44,-43
-17,43,-43
-17,44,-42
-17,45,-44
-18,45,-41
-17,43,-38
-17,44,-42
-17,43,-43
-18,43,-45
-18,44,-46
-16,45,-45
-16,45,-44
-17,46,-44
-15,45,-39
-18,45,-41
-18,45,-41
-16,46,-40
-15,44,-41
-17,47,-41
-17,45,-42
-21,39,-52
-20,45,-47
-18,46,-40
-19,46,-43
-18,43,-39
-17,45,-39
-16,40,-42
-19,46,-40
-18,45,-43
-16,45,-42
-16,45,-43
-15,45,-43
-13,44,-44
-12,44,-44
-15,44,-44
-14,44,-42
-14,46,-42
-16,38,-52
-17,52,-39
-19,45,-42
-15,44,-43
-15,44,-43
-15,42,-43
-15,43,-42
-14,43,-44
-14,44,-43
-14,44,-45
-11,44,-44
-11,43,-43
-11,44,-44
-12,46,-43
-11,45,-47
-3,16,-24
-11,43,-46
-14,44,-43
-21,43,-50
-9,43,-41
-17,42,-42
-14,44,-40
-16,42,-44
-13,42,-44
-14,44,-44
-13,46,-42
-15,44,-44
-15,47,-48
-8,40,-53
-13,39,-48
-16,40,-49
-12,42,-44
-12,44,-42
-11,43,-42
-11,43,-43
-13,42,-48
-15,41,-53
-16,43,-52
-16,44,-47
-17,44,-44
-15,44,-40
-12,42,-39
-15,40,-41
-14,42,-44
-15,41,-47
-13,45,-38
-15,45,-42
-17,43,-47
-15,44,-46
-17,43,-39
-14,41,-41
-17,43,-45
-16,43,-46
-16,44,-46
-17,41,-44
-18,43,-43
-17,43,-43
-17,43,-43
-18,43,-45
-17,43,-44
-19,43,-47
-17,41,-43
-18,42,-42
-16,42,-39
-18,49,-36
-16,44,-40
-16,42,-47
-17,41,-47
-19,42,-49
-18,40,-47
-16,43,-39
-18,42,-44
-17,43,-43
-17,46,-44
-19,45,-44
-21,43,-47
-17,41,-45
-16,44,-48
-18,45,-48
-16,45,-44
-16,45,-47
-17,43,-47
-17,45,-42
-16,44,-38
-13,44,-44
-11,45,-41
-11,46,-38
-26,50,-50
-19,47,-41
-19,48,-35
-19,44,-38
-23,45,-38
-18,47,-38
-18,45,-36
-25,48,-38
-22,45,-37
-24,45,-34
-25,48,-37
-28,47,-39
-23,43,-34
-18,42,-34
-21,46,-34
-26,47,-38
-30,46,-42
-23,48,-39
-21,46,-32
-20,49,-34
-23,46,-41
-31,52,-36
-33,50,-35
-25,51,-41
-22,51,-35
-27,47,-39
-25,50,-31
-20,46,-28
-24,47,-30
-24,44,-28
-28,42,-30
-25,48,-29
-22,48,-30
-25,51,-36
-25,51,-37
-23,50,-35
-25,51,-37
-27,54,-39
-34,44,-33
-18,34,-27
-25,44,-35
-21,36,-38
-19,41,-37
-23,49,-48
-28,47,-50
-23,50,-47
-21,48,-45
-25,46,-46
-22,48,-41
-20,46,-37
-8,47,-32
-27,51,-45
-10,48,-36
-17,48,-40
-10,46,-36
-14,42,-43
-8,48,-43
7,50,-38
-10,45,-46
-10,47,-43
-14,47,-43
-7,50,-44
-4,46,-40
-7,46,-41
-6,44,-44
-4,43,-43
-5,44,-44
-5,44,-42
55,24,68
-29,53,-43
-19,50,-48
-19,50,-37
-17,49,-30
-17,46,-41
-17,46,-43
-13,44,-45
-12,42,-45
-10,41,-46
-11,45,-43
-10,44,-43
-10,45,-41
-11,43,-42
-12,45,-42
-10,42,-42
-10,44,-42
-11,45,-46
-9,44,-49
-10,43,-46
-11,45,-45
-11,45,-49
-8,44,-46
-11,53,-45
-8,34,-45
-5,54,-45
-13,38,-44
-9,42,-44
-12,44,-45
-14,43,-42
-14,34,-41
-15,46,-45
-14,45,-42
-15,42,-39
-16,48,-41
-27,49,-42
-16,41,-37
-23,46,-42
-20,42,-44
-19,43,-43
-20,43,-46
-19,43,-46
-22,44,-42
-20,42,-40
-19,40,-39
-24,37,-39
-16,43,-40
-19,47,-38
-15,48,-44
-19,46,-46
-19,48,-42
-19,47,-41
-19,46,-42
-17,45,-42
-16,45,-43
-17,44,-42
