"Time","NR_Perspiration","CovertedTime","Perspiration"
78,"0.00320649630305135",2018-09-04 13:06:03,"0.0033517272"
79,"0.00320114193987189",2018-09-04 13:06:04,"0.00303252676666667"
80,"0.0031958967754007",2018-09-04 13:06:05,"0.00312976503333333"
81,"0.00319088499170801",2018-09-04 13:06:06,"0.0027450073"
82,"0.00318622321911808",2018-09-04 13:06:07,"0.00280560576666667"
83,"0.00318201523343883",2018-09-04 13:06:08,"0.0032689722"
84,"0.00317834620072273",2018-09-04 13:06:09,"0.00350259973333333"
85,"0.00317527655309638",2018-09-04 13:06:10,"0.00266648616666667"
86,"0.00317283611959246",2018-09-04 13:06:11,"0.00233260893333333"
87,"0.00317101967246155",2018-09-04 13:06:12,"0.0024117795"
88,"0.00316978528717899",2018-09-04 13:06:13,"0.0026973784"
89,"0.00316905660397965",2018-09-04 13:06:14,"0.00291805153333333"
90,"0.00316872922208055",2018-09-04 13:06:15,"0.00361425356666667"
91,"0.00316868035898297",2018-09-04 13:06:16,"0.00289901353333333"
92,"0.00316878001530744",2018-09-04 13:06:17,"0.0032444792"
93,"0.00316890154968481",2018-09-04 13:06:18,"0.0037295092"
94,"0.0031689312557255",2018-09-04 13:06:19,"0.00324861196551724"
95,"0.00316877031059923",2018-09-04 13:06:20,"0.0029649165483871"
96,"0.00316833005289458",2018-09-04 13:06:21,"0.0032203384"
97,"0.00316755702766828",2018-09-04 13:06:22,"0.0030285153"
98,"0.00316639765339372",2018-09-04 13:06:23,"0.0036719621"
99,"0.00316481458708198",2018-09-04 13:06:24,"0.00279818316666667"
100,"0.00316278166027939",2018-09-04 13:06:25,"0.00297490933333333"
101,"0.00316028433104078",2018-09-04 13:06:26,"0.0030541504"
102,"0.00315732137151808",2018-09-04 13:06:27,"0.0036492271"
103,"0.0031539685652555",2018-09-04 13:06:28,"0.00387256489655172"
104,"0.00315020618648607",2018-09-04 13:06:29,"0.00297676843333333"
105,"0.00314593638292077",2018-09-04 13:06:30,"0.00319811274193548"
106,"0.00314134680908326",2018-09-04 13:06:31,"0.0033089091"
107,"0.00313659402803892",2018-09-04 13:06:32,"0.00250516276666667"
108,"0.0031316893076189",2018-09-04 13:06:33,"0.0028966862"
109,"0.00312672101023741",2018-09-04 13:06:34,"0.0033370215"
110,"0.00312177963381773",2018-09-04 13:06:35,"0.00333718353333333"
111,"0.00311695489372359",2018-09-04 13:06:36,"0.00369097916666667"
112,"0.00311233233566764",2018-09-04 13:06:37,"0.0028268479"
113,"0.00310798916750841",2018-09-04 13:06:38,"0.0026031827"
114,"0.0031041146629416",2018-09-04 13:06:39,"0.00237918857142857"
115,"0.0031006638758303",2018-09-04 13:06:40,"0.00313259768965517"
116,"0.00309763455866938",2018-09-04 13:06:41,"0.00318963544444444"
117,"0.00309519303597023",2018-09-04 13:06:42,"0.00235492058333333"
118,"0.00309305202999567",2018-09-04 13:06:43,"0.00285033244444444"
119,"0.00309098409266699",2018-09-04 13:06:44,"0.00282158986666667"
120,"0.00308913534040419",2018-09-04 13:06:45,"0.00262407583333333"
121,"0.00308771674577554",2018-09-04 13:06:46,"0.00303875125"
122,"0.00308650192009183",2018-09-04 13:06:47,"0.0036070049"
123,"0.00308555172126815",2018-09-04 13:06:48,"0.00284350161111111"
124,"0.0030848167812472",2018-09-04 13:06:49,"0.00312270341666667"
125,"0.00308406560864709",2018-09-04 13:06:50,"0.00313452566666667"
126,"0.00308340483769309",2018-09-04 13:06:51,"0.00313957658333333"
127,"0.00308277119064949",2018-09-04 13:06:52,"0.0029176861"
128,"0.00308225473658622",2018-09-04 13:06:53,"0.00292943716666667"
129,"0.00308190678169101",2018-09-04 13:06:54,"0.0029030456"
130,"0.00308168149536208",2018-09-04 13:06:55,"0.00264913357692308"
131,"0.0030816210422964",2018-09-04 13:06:56,"0.00278365946666667"
132,"0.00308178308489903",2018-09-04 13:06:57,"0.00307688666666667"
133,"0.0030822120253778",2018-09-04 13:06:58,"0.00299087423333333"
134,"0.00308297999025963",2018-09-04 13:06:59,"0.00287157593333333"
135,"0.00308411057170851",2018-09-04 13:07:00,"0.00303049643333333"
136,"0.0030855173475487",2018-09-04 13:07:01,"0.00337415623076923"
137,"0.00308729844272311",2018-09-04 13:07:02,"0.0025023625"
138,"0.00308962358629064",2018-09-04 13:07:03,"0.00262146426666667"
139,"0.00309228843840697",2018-09-04 13:07:04,"0.00281197846428571"
140,"0.00309524916724066",2018-09-04 13:07:05,"0.00275480292857143"
141,"0.00309870105744795",2018-09-04 13:07:06,"0.00249561626666667"
142,"0.00310237665341492",2018-09-04 13:07:07,"0.00258514092307692"
143,"0.00310615502009249",2018-09-04 13:07:08,"0.00403641622222222"
144,"0.00311052079641121",2018-09-04 13:07:09,"0.0033473135"
145,"0.00311543496418458",2018-09-04 13:07:10,"0.0027241939"
146,"0.00312067273563396",2018-09-04 13:07:11,"0.0036764634"
147,"0.00312623784303635",2018-09-04 13:07:12,"0.002223762"
148,"0.00313193678865699",2018-09-04 13:07:13,"0.00271921557142857"
149,"0.00313796764562224",2018-09-04 13:07:14,"0.00278505573333333"
150,"0.00314456197459021",2018-09-04 13:07:15,"0.00295565283333333"
151,"0.00315152944341259",2018-09-04 13:07:16,"0.00296900836666667"
152,"0.00315887684758433",2018-09-04 13:07:17,"0.00327461463333333"
153,"0.00316660975249397",2018-09-04 13:07:18,"0.00301375473333333"
154,"0.00317473507009213",2018-09-04 13:07:19,"0.00297724703333333"
155,"0.00318282397149148",2018-09-04 13:07:20,"0.00351973140740741"
156,"0.0031912969043058",2018-09-04 13:07:21,"0.00268799583333333"
157,"0.00320064038967503",2018-09-04 13:07:22,"0.0031097107"
158,"0.00321044945526046",2018-09-04 13:07:23,"0.00299331466666667"
159,"0.00322075564326033",2018-09-04 13:07:24,"0.00331049056666667"
160,"0.00323159423216234",2018-09-04 13:07:25,"0.00283768753333333"
161,"0.00324300371621912",2018-09-04 13:07:26,"0.00298896623333333"
162,"0.00325481847423676",2018-09-04 13:07:27,"0.00336326637931035"
163,"0.00326727278308536",2018-09-04 13:07:28,"0.00281402703333333"
164,"0.00328063831572453",2018-09-04 13:07:29,"0.0028113482"
165,"0.00329354929635334",2018-09-04 13:07:30,"0.00335230328"
166,"0.00330717080072298",2018-09-04 13:07:31,"0.00358788823333333"
167,"0.00332286533009733",2018-09-04 13:07:32,"0.0031509135"
168,"0.00333921901993666",2018-09-04 13:07:33,"0.00332185662068966"
169,"0.00335594292651052",2018-09-04 13:07:34,"0.00291284971428571"
170,"0.00337266088799761",2018-09-04 13:07:35,"0.00258050865384615"
171,"0.00339060158480332",2018-09-04 13:07:36,"0.00327571127586207"
172,"0.00341084887968479",2018-09-04 13:07:37,"0.0032102799"
173,"0.00343209493252367",2018-09-04 13:07:38,"0.00307904427586207"
174,"0.00345426108090807",2018-09-04 13:07:39,"0.00333785653333333"
175,"0.00347758225776072",2018-09-04 13:07:40,"0.00339161936666667"
176,"0.0035014562726624",2018-09-04 13:07:41,"0.0035794081"
177,"0.00352315039125024",2018-09-04 13:07:42,"0.00260910525"
178,"0.00354472152462142",2018-09-04 13:07:43,"0.003190036"
179,"0.00356582468854331",2018-09-04 13:07:44,"0.00300218458333333"
180,"0.00358597974683628",2018-09-04 13:07:45,"0.0036709255"
181,"0.00360674013960757",2018-09-04 13:07:46,"0.00385519663333333"
182,"0.00362481411607515",2018-09-04 13:07:47,"0.00484437493103448"
183,"0.00363987511125646",2018-09-04 13:07:48,"0.00538329333333333"
184,"0.0036514943423481",2018-09-04 13:07:49,"0.00396028493333333"
185,"0.00365884618787242",2018-09-04 13:07:50,"0.00426022843333333"
186,"0.00366156766468609",2018-09-04 13:07:51,"0.00939314936666667"
187,"0.00365951367608837",2018-09-04 13:07:52,"0.00836057953333333"
188,"0.00365278229791984",2018-09-04 13:07:53,"0.00689781823333333"
189,"0.00364239142491887",2018-09-04 13:07:54,"0.00489863296296296"
190,"0.00362848899256051",2018-09-04 13:07:55,"0.00345864313333333"
191,"0.00361178052761388",2018-09-04 13:07:56,"0.00345333859259259"
192,"0.0035928496311871",2018-09-04 13:07:57,"0.0032916029"
193,"0.00357134509102161",2018-09-04 13:07:58,"0.00288735226666667"
194,"0.00354971758829101",2018-09-04 13:07:59,"0.00301393335714286"
195,"0.00352789784124447",2018-09-04 13:08:00,"0.00293893266666667"
196,"0.00350569075135955",2018-09-04 13:08:01,"0.00262952416666667"
197,"0.00348431217051493",2018-09-04 13:08:02,"0.00288161753333333"
198,"0.00346410189530292",2018-09-04 13:08:03,"0.00336181136666667"
199,"0.00344617889144463",2018-09-04 13:08:04,"0.00302071281481481"
200,"0.00342965016086726",2018-09-04 13:08:05,"0.00320661406666667"
201,"0.00341376848391964",2018-09-04 13:08:06,"0.0028455841"
202,"0.00339944658761064",2018-09-04 13:08:07,"0.00319359686666667"
203,"0.00338662730095945",2018-09-04 13:08:08,"0.00301677283333333"
204,"0.00337521749889462",2018-09-04 13:08:09,"0.0028055067"
205,"0.00336525400601785",2018-09-04 13:08:10,"0.00310794913793103"
206,"0.00335627739475411",2018-09-04 13:08:11,"0.00333481067741935"
207,"0.00334830010109133",2018-09-04 13:08:12,"0.00316492120689655"
208,"0.00334130204712882",2018-09-04 13:08:13,"0.00310926146666667"
209,"0.00333488672119654",2018-09-04 13:08:14,"0.00340525366666667"
210,"0.00332903363857093",2018-09-04 13:08:15,"0.00325280946666667"
211,"0.00332368727162595",2018-09-04 13:08:16,"0.00315484206896552"
212,"0.00331861951135829",2018-09-04 13:08:17,"0.00345623306666667"
213,"0.00331362490160216",2018-09-04 13:08:18,"0.0031748747"
214,"0.00330867559209463",2018-09-04 13:08:19,"0.00294254533333333"
215,"0.00330366750651278",2018-09-04 13:08:20,"0.00362320533333333"
216,"0.00329851209665476",2018-09-04 13:08:21,"0.00381437986666667"
217,"0.00329314007532634",2018-09-04 13:08:22,"0.0030654397"
218,"0.00328750539667053",2018-09-04 13:08:23,"0.0029506524"
219,"0.00328158874607987",2018-09-04 13:08:24,"0.00359062666666667"
220,"0.00327539962489126",2018-09-04 13:08:25,"0.00412470446666667"
221,"0.00326897611466538",2018-09-04 13:08:26,"0.0033594702"
222,"0.00326238166270498",2018-09-04 13:08:27,"0.00291102436666667"
223,"0.0032556987725856",2018-09-04 13:08:28,"0.00344269513333333"
224,"0.003249020215486",2018-09-04 13:08:29,"0.0032169387"
225,"0.00324243908433105",2018-09-04 13:08:30,"0.0027737697"
226,"0.00323603944425387",2018-09-04 13:08:31,"0.00278692806666667"
227,"0.00322988931470097",2018-09-04 13:08:32,"0.0028892915"
228,"0.00322403721769218",2018-09-04 13:08:33,"0.00283598386666667"
229,"0.00321851266755693",2018-09-04 13:08:34,"0.00313531613333333"
230,"0.00321333000979879",2018-09-04 13:08:35,"0.00337536893333333"
231,"0.00320849424038273",2018-09-04 13:08:36,"0.0030092411"
232,"0.00320400709561544",2018-09-04 13:08:37,"0.00304979453333333"
233,"0.00319987188816456",2018-09-04 13:08:38,"0.00378014836666667"
234,"0.00319609617338694",2018-09-04 13:08:39,"0.00275735066666667"
235,"0.00319269210285725",2018-09-04 13:08:40,"0.0025889729"
236,"0.00318967495599434",2018-09-04 13:08:41,"0.00262582173333333"
237,"0.00318706063377516",2018-09-04 13:08:42,"0.00358787046666667"
238,"0.00318486284999296",2018-09-04 13:08:43,"0.00336791603333333"
239,"0.00318311540462342",2018-09-04 13:08:44,"0.0028454414137931"
240,"0.00318178386022037",2018-09-04 13:08:45,"0.00254204263333333"
241,"0.00318084728059765",2018-09-04 13:08:46,"0.00289317133333333"
242,"0.0031803198186941",2018-09-04 13:08:47,"0.00308029843333333"
243,"0.00318018197786948",2018-09-04 13:08:48,"0.00269537423333333"
244,"0.00318041043186706",2018-09-04 13:08:49,"0.00310878183333333"
245,"0.00318098092789837",2018-09-04 13:08:50,"0.0036901172"
246,"0.00318187067589469",2018-09-04 13:08:51,"0.00299091856666667"
247,"0.0031830594489677",2018-09-04 13:08:52,"0.00287014976666667"
248,"0.0031845291218902",2018-09-04 13:08:53,"0.00326746676666667"
249,"0.00318626202470852",2018-09-04 13:08:54,"0.0027182058"
250,"0.00318823899514209",2018-09-04 13:08:55,"0.0028211428"
251,"0.00319043815533863",2018-09-04 13:08:56,"0.00317558733333333"
252,"0.00319283516421117",2018-09-04 13:08:57,"0.00305663893333333"
253,"0.00319540512815711",2018-09-04 13:08:58,"0.0029778788"
254,"0.0031981257174872",2018-09-04 13:08:59,"0.00334860726666667"
255,"0.00320098057091844",2018-09-04 13:09:00,"0.00334454483333333"
256,"0.00320396194295786",2018-09-04 13:09:01,"0.0031104029"
257,"0.00320707180333743",2018-09-04 13:09:02,"0.00336104596666667"
258,"0.00321026532274323",2018-09-04 13:09:03,"0.00296121051724138"
259,"0.00321361150818608",2018-09-04 13:09:04,"0.0027099917"
260,"0.0032171912225858",2018-09-04 13:09:05,"0.0032813719"
261,"0.00322090786450125",2018-09-04 13:09:06,"0.00290981372413793"
262,"0.00322484434974348",2018-09-04 13:09:07,"0.00290390196666667"
263,"0.00322902102236154",2018-09-04 13:09:08,"0.00346608217241379"
264,"0.0032335426226382",2018-09-04 13:09:09,"0.00304767651612903"
265,"0.00323836013900061",2018-09-04 13:09:10,"0.00319157906896552"
266,"0.00324350625013871",2018-09-04 13:09:11,"0.00343391729032258"
267,"0.00324909370346677",2018-09-04 13:09:12,"0.00318221426666667"
268,"0.00325486187597689",2018-09-04 13:09:13,"0.00260563379310345"
269,"0.00326111071541075",2018-09-04 13:09:14,"0.0028068785483871"
270,"0.00326785390301514",2018-09-04 13:09:15,"0.0030716659"
271,"0.0032747395035841",2018-09-04 13:09:16,"0.00386661493103448"
272,"0.00328207896708826",2018-09-04 13:09:17,"0.00276196883870968"
273,"0.00328970096739054",2018-09-04 13:09:18,"0.0027150674137931"
274,"0.00329740675553718",2018-09-04 13:09:19,"0.00339986186666667"
