Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
3.44,Sun Jul 08 02:11:09.320 2018,0,0,0,0,
3.444,Sun Jul 08 02:11:09.324 2018,0,0,0,0,
3.453,Sun Jul 08 02:11:09.333 2018,0,0,0,0,
3.481,Sun Jul 08 02:11:09.361 2018,0,0,0,0,
3.507,Sun Jul 08 02:11:09.387 2018,0,0,0,0,
3.511,Sun Jul 08 02:11:09.391 2018,0,0,0,0,
3.513,Sun Jul 08 02:11:09.394 2018,0,0,0,0,
3.516,Sun Jul 08 02:11:09.396 2018,0,0,0,0,
3.518,Sun Jul 08 02:11:09.398 2018,0,0,0,0,
3.535,Sun Jul 08 02:11:09.415 2018,0,0,0,0,
3.56,Sun Jul 08 02:11:09.440 2018,0,0,0,0,
3.562,Sun Jul 08 02:11:09.443 2018,0,0,0,0,
3.565,Sun Jul 08 02:11:09.446 2018,0,0,0,0,
3.57,Sun Jul 08 02:11:09.450 2018,0,0,0,0,
3.58,Sun Jul 08 02:11:09.460 2018,0,0,0,0,
3.606,Sun Jul 08 02:11:09.486 2018,0,0,0,0,
3.609,Sun Jul 08 02:11:09.490 2018,0,0,0,0,
3.616,Sun Jul 08 02:11:09.496 2018,0,0,0,0,
3.619,Sun Jul 08 02:11:09.500 2018,0,0,0,0,
3.642,Sun Jul 08 02:11:09.523 2018,0,0,0,0,
3.648,Sun Jul 08 02:11:09.529 2018,0,0,0,0,
3.66,Sun Jul 08 02:11:09.539 2018,0,0,0,0,
3.662,Sun Jul 08 02:11:09.542 2018,0,0,0,0,
3.671,Sun Jul 08 02:11:09.551 2018,0,0,0,0,
3.681,Sun Jul 08 02:11:09.561 2018,0,0,0,0,
3.693,Sun Jul 08 02:11:09.573 2018,0,0,0,0,
3.702,Sun Jul 08 02:11:09.582 2018,0,0,0,0,
3.713,Sun Jul 08 02:11:09.593 2018,0,0,0,0,
3.725,Sun Jul 08 02:11:09.605 2018,0,0,0,0,
3.735,Sun Jul 08 02:11:09.615 2018,0,0,0,0,
3.743,Sun Jul 08 02:11:09.623 2018,0,0,0,0,
3.755,Sun Jul 08 02:11:09.635 2018,0,0,0,0,
3.766,Sun Jul 08 02:11:09.646 2018,0,0,0,0,
3.781,Sun Jul 08 02:11:09.661 2018,0,0,0,0,
3.786,Sun Jul 08 02:11:09.666 2018,0,0,0,0,
3.797,Sun Jul 08 02:11:09.677 2018,0,0,0,0,
3.828,Sun Jul 08 02:11:09.708 2018,0,0,0,0,
3.836,Sun Jul 08 02:11:09.716 2018,0,0,0,0,
3.838,Sun Jul 08 02:11:09.718 2018,0,0,0,0,
3.843,Sun Jul 08 02:11:09.723 2018,0,0,0,0,
3.867,Sun Jul 08 02:11:09.747 2018,0,0,0,0,
3.87,Sun Jul 08 02:11:09.750 2018,0,0,0,0,
3.873,Sun Jul 08 02:11:09.753 2018,0,0,0,0,
3.879,Sun Jul 08 02:11:09.759 2018,0,0,0,0,
3.888,Sun Jul 08 02:11:09.769 2018,0,0,0,0,
3.898,Sun Jul 08 02:11:09.779 2018,0,0,0,0,
3.907,Sun Jul 08 02:11:09.788 2018,0,0,0,0,
3.917,Sun Jul 08 02:11:09.798 2018,0,0,0,0,
3.928,Sun Jul 08 02:11:09.809 2018,0,0,0,0,
3.941,Sun Jul 08 02:11:09.821 2018,0,0,0,0,
3.95,Sun Jul 08 02:11:09.830 2018,0,0,0,0,
3.961,Sun Jul 08 02:11:09.841 2018,0,0,0,0,
3.971,Sun Jul 08 02:11:09.851 2018,0,0,0,0,
3.981,Sun Jul 08 02:11:09.861 2018,0,0,0,0,
3.996,Sun Jul 08 02:11:09.876 2018,0,0,0,0,
4.001,Sun Jul 08 02:11:09.882 2018,0,0,0,0,
4.03,Sun Jul 08 02:11:09.909 2018,0,0,0,0,
4.037,Sun Jul 08 02:11:09.917 2018,0,0,0,0,
4.04,Sun Jul 08 02:11:09.919 2018,0,0,0,0,
4.043,Sun Jul 08 02:11:09.922 2018,0,0,0,0,
4.056,Sun Jul 08 02:11:09.936 2018,0,0,0,0,
4.066,Sun Jul 08 02:11:09.946 2018,0,0,0,0,
4.077,Sun Jul 08 02:11:09.957 2018,0,0,0,0,
4.087,Sun Jul 08 02:11:09.967 2018,0,0,0,0,
4.096,Sun Jul 08 02:11:09.976 2018,0,0,0,0,
4.106,Sun Jul 08 02:11:09.986 2018,0,0,0,0,
4.133,Sun Jul 08 02:11:10.013 2018,0,0,0,0,
4.137,Sun Jul 08 02:11:10.017 2018,0,0,0,0,
4.141,Sun Jul 08 02:11:10.021 2018,0,0,0,0,
4.147,Sun Jul 08 02:11:10.027 2018,0,0,0,0,
4.157,Sun Jul 08 02:11:10.037 2018,0,0,0,0,
4.168,Sun Jul 08 02:11:10.048 2018,0,0,0,0,
4.178,Sun Jul 08 02:11:10.058 2018,0,0,0,0,
4.197,Sun Jul 08 02:11:10.077 2018,0,0,0,0,
4.201,Sun Jul 08 02:11:10.081 2018,0,0,0,0,
4.208,Sun Jul 08 02:11:10.089 2018,0,0,0,0,
4.222,Sun Jul 08 02:11:10.102 2018,0,0,0,0,
4.228,Sun Jul 08 02:11:10.109 2018,0,0,0,0,
4.243,Sun Jul 08 02:11:10.124 2018,0,0,0,0,
4.25,Sun Jul 08 02:11:10.130 2018,0,0,0,0,
4.261,Sun Jul 08 02:11:10.141 2018,0,0,0,0,
4.27,Sun Jul 08 02:11:10.150 2018,0,0,0,0,
4.281,Sun Jul 08 02:11:10.161 2018,0,0,0,0,
4.293,Sun Jul 08 02:11:10.174 2018,0,0,0,0,
4.308,Sun Jul 08 02:11:10.189 2018,0,0,0,0,
4.311,Sun Jul 08 02:11:10.192 2018,0,0,0,0,
4.322,Sun Jul 08 02:11:10.203 2018,0,0,0,0,
4.332,Sun Jul 08 02:11:10.212 2018,0,0,0,0,
4.348,Sun Jul 08 02:11:10.229 2018,0,0,0,0,
4.353,Sun Jul 08 02:11:10.233 2018,0,0,0,0,
4.367,Sun Jul 08 02:11:10.248 2018,0,0,0,0,
4.371,Sun Jul 08 02:11:10.251 2018,0,0,0,0,
4.386,Sun Jul 08 02:11:10.266 2018,0,0,0,0,
4.395,Sun Jul 08 02:11:10.274 2018,0,0,0,0,
4.403,Sun Jul 08 02:11:10.283 2018,0,0,0,0,
4.413,Sun Jul 08 02:11:10.293 2018,0,0,0,0,
4.428,Sun Jul 08 02:11:10.308 2018,0,0,0,0,
4.435,Sun Jul 08 02:11:10.314 2018,0,0,0,0,
4.462,Sun Jul 08 02:11:10.342 2018,0,0,0,0,
4.472,Sun Jul 08 02:11:10.352 2018,0,0,0,0,
4.475,Sun Jul 08 02:11:10.355 2018,0,0,0,0,
4.479,Sun Jul 08 02:11:10.359 2018,0,0,0,0,
4.487,Sun Jul 08 02:11:10.367 2018,0,0,0,0,
4.498,Sun Jul 08 02:11:10.378 2018,0,0,0,0,
4.51,Sun Jul 08 02:11:10.389 2018,0,0,0,0,
4.52,Sun Jul 08 02:11:10.399 2018,0,0,0,0,
4.527,Sun Jul 08 02:11:10.407 2018,0,0,0,0,
4.536,Sun Jul 08 02:11:10.416 2018,0,0,0,0,
4.551,Sun Jul 08 02:11:10.431 2018,0,0,0,0,
4.561,Sun Jul 08 02:11:10.441 2018,0,0,0,0,
4.568,Sun Jul 08 02:11:10.448 2018,0,0,0,0,
4.578,Sun Jul 08 02:11:10.458 2018,0,0,0,0,
4.595,Sun Jul 08 02:11:10.475 2018,0,0,0,0,
4.6,Sun Jul 08 02:11:10.480 2018,0,0,0,0,
4.608,Sun Jul 08 02:11:10.488 2018,0,0,0,0,
4.618,Sun Jul 08 02:11:10.498 2018,0,0,0,0,
4.63,Sun Jul 08 02:11:10.510 2018,0,0,0,0,
4.646,Sun Jul 08 02:11:10.527 2018,0,0,0,0,
4.653,Sun Jul 08 02:11:10.534 2018,0,0,0,0,
4.666,Sun Jul 08 02:11:10.546 2018,0,0,0,0,
4.675,Sun Jul 08 02:11:10.555 2018,0,0,0,0,
4.682,Sun Jul 08 02:11:10.562 2018,0,0,0,0,
4.691,Sun Jul 08 02:11:10.571 2018,0,0,0,0,
4.711,Sun Jul 08 02:11:10.591 2018,0,0,0,0,
4.722,Sun Jul 08 02:11:10.603 2018,0,0,0,0,
4.741,Sun Jul 08 02:11:10.622 2018,0,0,0,0,
4.745,Sun Jul 08 02:11:10.626 2018,0,0,0,0,
4.771,Sun Jul 08 02:11:10.650 2018,0,0,0,0,
4.789,Sun Jul 08 02:11:10.668 2018,0,0,0,0,
4.8,Sun Jul 08 02:11:10.679 2018,0,0,0,0,
4.821,Sun Jul 08 02:11:10.700 2018,0,0,0,0,
4.835,Sun Jul 08 02:11:10.714 2018,0,0,0,0,
4.846,Sun Jul 08 02:11:10.726 2018,0,0,0,0,
4.867,Sun Jul 08 02:11:10.747 2018,0,0,0,0,
4.878,Sun Jul 08 02:11:10.757 2018,0,0,0,0,
4.905,Sun Jul 08 02:11:10.785 2018,0,0,0,0,
4.911,Sun Jul 08 02:11:10.791 2018,0,0,0,0,
4.932,Sun Jul 08 02:11:10.812 2018,0,0,0,0,
4.945,Sun Jul 08 02:11:10.825 2018,0,0,0,0,
4.967,Sun Jul 08 02:11:10.847 2018,0,0,0,0,
4.989,Sun Jul 08 02:11:10.869 2018,0,0,0,0,
5.01,Sun Jul 08 02:11:10.890 2018,0,0,0,0,
5.016,Sun Jul 08 02:11:10.896 2018,0,0,0,0,
5.019,Sun Jul 08 02:11:10.899 2018,0,0,0,0,
5.036,Sun Jul 08 02:11:10.916 2018,0,0,0,0,
5.053,Sun Jul 08 02:11:10.934 2018,0,0,0,0,
5.065,Sun Jul 08 02:11:10.945 2018,0,0,0,0,
5.104,Sun Jul 08 02:11:10.984 2018,0,0,0,0,
5.121,Sun Jul 08 02:11:11.001 2018,0,0,0,0,
5.125,Sun Jul 08 02:11:11.006 2018,0,0,0,0,
5.13,Sun Jul 08 02:11:11.010 2018,0,0,0,0,
5.142,Sun Jul 08 02:11:11.022 2018,0,0,0,0,
5.155,Sun Jul 08 02:11:11.034 2018,0,0,0,0,
5.158,Sun Jul 08 02:11:11.037 2018,0,0,0,0,
5.164,Sun Jul 08 02:11:11.043 2018,0,0,0,0,
5.176,Sun Jul 08 02:11:11.056 2018,0,0,0,0,
5.193,Sun Jul 08 02:11:11.073 2018,0,0,0,0,
5.196,Sun Jul 08 02:11:11.075 2018,0,0,0,0,
5.198,Sun Jul 08 02:11:11.078 2018,0,0,0,0,
5.202,Sun Jul 08 02:11:11.081 2018,0,0,0,0,
5.204,Sun Jul 08 02:11:11.084 2018,0,0,0,0,
5.207,Sun Jul 08 02:11:11.087 2018,0,0,0,0,
5.21,Sun Jul 08 02:11:11.090 2018,0,0,0,0,
5.213,Sun Jul 08 02:11:11.093 2018,0,0,0,0,
5.217,Sun Jul 08 02:11:11.097 2018,0,0,0,0,
