Frame#,Time,Timestamp,Perspiration
0,0,Sat Jul 14 10:49:34.493 2018,0.003142816
1,0.157578,Sat Jul 14 10:49:34.650 2018,0.005642832
6,0.2692795,Sat Jul 14 10:49:34.762 2018,0.004891478
8,0.4069114,Sat Jul 14 10:49:34.899 2018,0.005211839
9,0.5774568,Sat Jul 14 10:49:35.070 2018,0.004717969
10,0.6911513,Sat Jul 14 10:49:35.184 2018,0.004966958
11,0.8048476,Sat Jul 14 10:49:35.297 2018,0.008593142
12,0.9524529,Sat Jul 14 10:49:35.445 2018,0.006945768
13,1.068143,Sat Jul 14 10:49:35.561 2018,0.006711804
14,1.202783,Sat Jul 14 10:49:35.695 2018,0.007299258
15,1.335428,Sat Jul 14 10:49:35.828 2018,0.007292664
16,1.468073,Sat Jul 14 10:49:35.961 2018,0.007150003
17,1.609694,Sat Jul 14 10:49:36.102 2018,0.007531593
18,1.735358,Sat Jul 14 10:49:36.228 2018,0.006249917
19,1.869002,Sat Jul 14 10:49:36.362 2018,0.006057151
20,2.002642,Sat Jul 14 10:49:36.495 2018,0.008164775
21,2.136286,Sat Jul 14 10:49:36.629 2018,0.006663302
22,2.268931,Sat Jul 14 10:49:36.761 2018,0.004935925
23,2.404568,Sat Jul 14 10:49:36.897 2018,0.003879221
24,2.537213,Sat Jul 14 10:49:37.030 2018,0.006128283
25,2.669858,Sat Jul 14 10:49:37.162 2018,0.005252823
26,2.8035,Sat Jul 14 10:49:37.296 2018,0.00560003
27,2.93814,Sat Jul 14 10:49:37.431 2018,0.004993937
28,3.070786,Sat Jul 14 10:49:37.563 2018,0.005260208
29,3.203431,Sat Jul 14 10:49:37.696 2018,0.005652465
30,3.337074,Sat Jul 14 10:49:37.830 2018,0.004301412
31,3.470717,Sat Jul 14 10:49:37.963 2018,0.004019232
32,3.604358,Sat Jul 14 10:49:38.097 2018,0.004691513
33,3.744982,Sat Jul 14 10:49:38.237 2018,0.005392636
34,3.871643,Sat Jul 14 10:49:38.364 2018,0.004715861
35,4.010273,Sat Jul 14 10:49:38.503 2018,0.004433936
36,4.136933,Sat Jul 14 10:49:38.629 2018,0.005111142
37,4.271583,Sat Jul 14 10:49:38.764 2018,0.004917688
38,4.405216,Sat Jul 14 10:49:38.898 2018,0.003582617
39,4.539855,Sat Jul 14 10:49:39.032 2018,0.003519987
40,4.681477,Sat Jul 14 10:49:39.174 2018,0.004476879
41,4.805146,Sat Jul 14 10:49:39.298 2018,0.005871835
42,4.937791,Sat Jul 14 10:49:39.430 2018,0.006593982
43,5.071433,Sat Jul 14 10:49:39.564 2018,0.006666692
44,5.206074,Sat Jul 14 10:49:39.699 2018,0.006104932
45,5.347694,Sat Jul 14 10:49:39.840 2018,0.008934782
46,5.471364,Sat Jul 14 10:49:39.964 2018,0.008470661
47,5.607001,Sat Jul 14 10:49:40.100 2018,0.008333404
