104,10.94278,Wed Aug 22 13:53:28.040 2018,0.007123479
106,11.07842,Wed Aug 22 13:53:28.176 2018,0.006798865
107,11.20907,Wed Aug 22 13:53:28.307 2018,0.006803594
108,11.34271,Wed Aug 22 13:53:28.440 2018,0.006473864
109,11.47835,Wed Aug 22 13:53:28.576 2018,0.006455188
110,11.60999,Wed Aug 22 13:53:28.708 2018,0.006200039
111,11.61897,Wed Aug 22 13:53:28.717 2018,0.00672503
112,11.75161,Wed Aug 22 13:53:28.849 2018,0.006176801
113,11.88127,Wed Aug 22 13:53:28.979 2018,0.006474493
115,12.01192,Wed Aug 22 13:53:29.110 2018,0.004903391
117,12.14257,Wed Aug 22 13:53:29.240 2018,0.005997352
118,12.2822,Wed Aug 22 13:53:29.380 2018,0.006475168
119,12.41883,Wed Aug 22 13:53:29.517 2018,0.005221246
121,12.5435,Wed Aug 22 13:53:29.641 2018,0.006333728
122,12.67614,Wed Aug 22 13:53:29.774 2018,0.005263824
123,12.81078,Wed Aug 22 13:53:29.909 2018,0.005866683
124,12.94742,Wed Aug 22 13:53:30.045 2018,0.004665852
126,13.07807,Wed Aug 22 13:53:30.176 2018,0.004959508
128,13.21171,Wed Aug 22 13:53:30.309 2018,0.005784286
129,13.34436,Wed Aug 22 13:53:30.442 2018,0.005226663
130,13.47999,Wed Aug 22 13:53:30.578 2018,0.004499992
131,13.61264,Wed Aug 22 13:53:30.710 2018,0.005816589
132,13.75426,Wed Aug 22 13:53:30.852 2018,0.004496718
133,13.87893,Wed Aug 22 13:53:30.977 2018,0.006352383
134,14.01157,Wed Aug 22 13:53:31.109 2018,0.00552521
135,14.14821,Wed Aug 22 13:53:31.246 2018,0.007513858
136,14.27886,Wed Aug 22 13:53:31.377 2018,0.00646525
137,14.41449,Wed Aug 22 13:53:31.512 2018,0.006905521
138,14.54614,Wed Aug 22 13:53:31.644 2018,0.007633288
139,14.67879,Wed Aug 22 13:53:31.777 2018,0.006148973
140,14.81542,Wed Aug 22 13:53:31.913 2018,0.005621389
142,14.94707,Wed Aug 22 13:53:32.045 2018,0.00527273
143,15.09368,Wed Aug 22 13:53:32.191 2018,0.006617165
