Time,BtoB
27/06/2018 13:48:05.406,6000
,13140
,1650
,2010
,3020
,9680
,11390
,2210
,2030
,1220
,1900
,5590
,2210
,2070
,660
,4220
,3490
,11080
,2450
,1300
,2150
,2760
,2750
,3640
,3990
,1290
,3520
,1590
,2830
,4910
,7630
,3860
,2920
,4910
,7590
,5230
,1830
,4470
,1440
,3000
,3540
,970
,1520
,5130
,3080
,3690
,5560
,2790
,2150
,2970
,2100
,3300
,3610
,1490
,1360
,1270
,3260
,1290
,3230
,2480
,1910
,2620
,4540
,3130
,6820
,1340
,4400
,2160
,2720
,3450
,1330
,4040
,7830
,6280
,6250
,2420
,1290
,4400
,4000
,4040
,1510
,1870
,2440
,1300
,4200
,7310
,8620
,7750
,3300
,3710
,5640
,9570
,2700
,1170
,3600
,1000
,4420
,2190
,5630
,6000
,6000
,4050
,1200
,4740
,3510
,1720
,6700
,4920
,4400
,1530
,2720
,2520
,7770
,3760
,1650
,2970
,1970
,600
,3450
,3960
,2290
,1430
,1500
,3570
,16200
,1740
,4600
,1570
,1980
,2330
,2120
,3050
,3990
,7270
,2840
,1290
,1400
,2250
,1690
,1330
,2690
,1580
,990
,3090
,1480
,2070
,3670
,2250
,1900
,2590
,1730
,2760
,2130
,1930
,2680
,6340
,4310
,7110
,1670
,1220
,2170
,2310
,2620
,2490
,1460
,3190
,1310
,2280
,2170
,2440
,2190
,1130
,2910
,5370
,3150
,1230
,2850
,2680
,2570
,4940
,4170
,4810
,1060
,1610
,2720
,3170
,3000
,2930
,3730
,2570
,2780
,3430
,3640
,3620
,3280
,2320
,2820
,2690
,3840
,2870
,4180
,4280
,3900
,7130
,3500
,4670
,3040
,3350
,2390
,1200
,1850
,1250
,3020
,4000
,4940
,3760
,5180
,2820
,2980
,2550
,2480
,3040
,1860
,3130
,2740
,2880
,2650
,6540
,4950
,3630
,2510
,1670
,3700
,4530
,3140
,2920
,3170
,2080
,3860
,3270
,3140
,1980
,5210
,2500
,2950
,2930
,3710
,3190
,3050
,2710
,3150
,2790
,3320
,4000
,3910
,3120
,1030
,2880
,3490
,2880
,5830
,4020
,3300
,1800
,5230
,3360
,4450
,3510
,3100
,3900
,5870
,11870
,3900
,3480
,8000
,4640
,1330
,4950
,5110
,4060
,4020
,4360
,2090
,4980
,4500
,5200
,3160
,850
,3910
,3110
,3670
,3140
,3580
,2520
,3000
,3520
,4140
,4440
,4750
,3240
,8040
,2150
,2620
,1850
,2140
,3150
,1710
,2060
,1380
,3250
,3950
,3400
,3850
,2600
,3120
,2500
,3160
,4780
,1450
,1830
,1300
,3310
,1430
,1530
,6080
,3960
,3100
,2340
,2920
,2440
,12180
,5280
,1790
,1500
,3050
,2700
,4080
,2560
,1060
,2650
,3560
,1670
,4080
,1630
,5030
,3840
,4840
,18820
,1260
,9440
,3650
,2350
