"Session","StartTime","EndTime"
"RestingBaseline",2018-07-27 10:58:56,2018-07-27 11:02:04
"BaselineWriting",2018-07-27 11:02:52,2018-07-27 11:07:52
"StressCondition",2018-07-27 11:09:54,2018-07-27 11:14:54
"DualTask",2018-07-27 11:16:12,2018-07-27 12:06:12
"Presentation",2018-07-27 12:17:43,2018-07-27 12:25:39
