"Session","StartTime","EndTime"
"RestingBaseline",2018-06-15 14:09:57,2018-06-15 14:13:38
"BaselineWriting",2018-06-15 14:13:38,2018-06-15 14:18:38
"StressCondition",2018-06-15 14:19:39,2018-06-15 14:24:39
"DualTask",2018-06-15 14:25:11,2018-06-15 15:15:11
"Presentation",2018-06-15 15:19:42,2018-06-15 15:26:46
