1528904760.000000, 1528904760.000000, 1528904760.000000
32.000000, 32.000000, 32.000000
-22,52,20
-21,51,19
-20,48,18
-19,50,17
-26,53,24
-21,55,32
-22,55,32
-20,52,33
-19,51,33
-18,50,28
-22,50,27
-24,49,26
-26,49,25
-26,50,26
-25,52,28
-25,53,29
-25,55,30
-24,55,31
-21,56,31
-21,56,30
-19,55,28
-18,52,25
-19,50,25
-17,50,20
-19,52,19
-22,55,23
-23,53,25
-22,53,24
-23,53,25
-22,53,27
-20,54,26
-20,55,26
-22,55,26
-24,55,25
-24,54,24
-23,53,22
-24,53,22
-23,54,22
-25,56,22
-26,56,21
-27,55,20
-26,55,20
-26,55,20
-26,56,21
-27,57,21
-28,56,21
-27,56,21
-23,54,20
-21,54,19
-22,56,18
-23,57,18
-25,60,18
-26,60,17
-25,59,16
-25,58,16
-25,57,16
-25,57,14
-25,57,14
-26,53,14
-25,52,14
-26,52,14
-26,54,16
-26,54,16
-25,56,17
-25,62,18
-24,64,21
-23,61,23
-23,57,22
-24,52,21
-24,52,21
-25,52,21
-23,54,20
-25,55,21
-28,55,21
-30,56,19
-30,54,18
-30,54,19
-29,57,21
-26,56,23
-28,56,22
-30,53,16
-32,53,16
-35,51,13
-34,50,13
-35,48,11
-39,48,12
-40,47,10
-42,42,10
-42,41,10
-43,41,7
-53,41,2
-58,39,-2
-61,37,-7
-62,36,-8
-60,34,-10
-59,33,-10
-58,33,-13
-53,31,-14
-53,31,-16
-52,30,-20
-51,30,-22
-53,29,-24
-50,29,-23
-47,27,-24
-45,25,-22
-46,24,-22
-49,23,-26
-52,24,-27
-55,25,-26
-58,26,-31
-64,30,-34
-69,39,-41
-72,43,-42
-70,34,-39
-66,28,-34
-56,21,-26
-51,19,-24
-50,19,-23
-49,22,-32
-46,20,-37
-40,19,-36
-39,16,-37
-41,11,-37
-42,7,-31
-45,7,-33
-48,5,-32
-46,4,-32
-54,4,-36
-52,4,-34
-51,4,-32
-54,4,-32
-52,4,-31
-49,6,-33
-53,7,-36
-56,10,-45
-56,13,-50
-67,17,-56
-66,16,-61
-58,13,-55
-45,6,-41
-43,5,-39
-43,5,-42
-43,7,-45
-45,9,-46
-45,10,-42
-45,9,-41
-43,8,-40
-42,7,-38
-42,5,-37
-43,2,-36
-42,1,-37
-47,1,-38
-50,3,-38
-54,4,-42
-52,5,-41
-58,5,-42
-64,4,-50
-67,4,-54
-76,10,-58
-76,15,-56
-60,14,-41
-50,9,-25
-42,2,-23
-43,4,-26
-44,7,-31
-50,17,-39
-50,20,-41
-44,18,-32
-43,10,-31
-45,8,-31
-49,8,-30
-49,9,-30
-54,11,-29
-56,12,-30
-60,13,-33
-63,13,-30
-62,12,-30
-60,13,-30
-61,13,-32
-59,12,-33
-58,11,-34
-58,12,-37
-59,15,-43
-63,19,-49
-59,20,-47
-56,16,-40
-46,12,-32
-42,11,-33
-42,13,-37
-46,15,-44
-48,16,-45
-49,17,-43
-47,15,-38
-46,14,-37
-44,11,-35
-46,10,-35
-49,9,-37
-49,8,-38
-51,8,-38
-53,8,-38
-54,8,-39
-58,9,-39
-58,8,-39
-58,8,-40
-58,8,-40
-59,9,-40
-59,10,-41
-62,14,-52
-72,24,-54
-65,24,-46
-46,11,-29
-41,5,-24
-39,3,-24
-42,11,-27
-45,16,-31
-55,25,-42
-55,24,-37
-51,12,-28
