#KeystrokeID,Time,Timestamp,IsKeyDown,Key
0,469.84,Tue Jul 17 15:51:34.156 2018,0,RSHIFT
1,470.34,Tue Jul 17 15:51:34.655 2018,0,RSHIFT
2,470.372,Tue Jul 17 15:51:34.688 2018,0,RSHIFT
3,470.405,Tue Jul 17 15:51:34.721 2018,0,RSHIFT
4,470.438,Tue Jul 17 15:51:34.754 2018,0,RSHIFT
5,470.472,Tue Jul 17 15:51:34.788 2018,0,RSHIFT
6,470.503,Tue Jul 17 15:51:34.818 2018,0,KEY_C
7,470.599,Tue Jul 17 15:51:34.915 2018,1,KEY_C
8,470.703,Tue Jul 17 15:51:35.018 2018,1,RSHIFT
9,473.919,Tue Jul 17 15:51:38.235 2018,0,KEY_O
10,473.983,Tue Jul 17 15:51:38.298 2018,0,KEY_P
11,474.039,Tue Jul 17 15:51:38.354 2018,1,KEY_O
12,474.103,Tue Jul 17 15:51:38.419 2018,1,KEY_P
13,474.543,Tue Jul 17 15:51:38.859 2018,0,BACK
14,474.615,Tue Jul 17 15:51:38.931 2018,1,BACK
15,475.903,Tue Jul 17 15:51:40.219 2018,0,BACK
16,476.007,Tue Jul 17 15:51:40.323 2018,1,BACK
17,476.151,Tue Jul 17 15:51:40.467 2018,0,BACK
18,476.271,Tue Jul 17 15:51:40.587 2018,1,BACK
19,476.463,Tue Jul 17 15:51:40.779 2018,0,BACK
20,476.535,Tue Jul 17 15:51:40.851 2018,1,BACK
21,480.655,Tue Jul 17 15:51:44.971 2018,0,RSHIFT
22,480.727,Tue Jul 17 15:51:45.043 2018,0,KEY_W
23,480.831,Tue Jul 17 15:51:45.147 2018,1,RSHIFT
24,480.834,Tue Jul 17 15:51:45.150 2018,1,KEY_W
25,480.903,Tue Jul 17 15:51:45.219 2018,0,KEY_E
26,481.007,Tue Jul 17 15:51:45.323 2018,0,SPACE
27,481.047,Tue Jul 17 15:51:45.363 2018,1,KEY_E
28,481.071,Tue Jul 17 15:51:45.387 2018,0,KEY_A
29,481.103,Tue Jul 17 15:51:45.419 2018,1,SPACE
30,481.159,Tue Jul 17 15:51:45.475 2018,0,KEY_R
31,481.199,Tue Jul 17 15:51:45.515 2018,1,KEY_A
32,481.255,Tue Jul 17 15:51:45.571 2018,0,KEY_E
33,481.319,Tue Jul 17 15:51:45.635 2018,1,KEY_R
34,481.324,Tue Jul 17 15:51:45.640 2018,1,KEY_E
35,481.847,Tue Jul 17 15:51:46.162 2018,0,BACK
36,481.919,Tue Jul 17 15:51:46.234 2018,1,BACK
37,482.015,Tue Jul 17 15:51:46.330 2018,0,BACK
38,482.071,Tue Jul 17 15:51:46.386 2018,1,BACK
39,482.151,Tue Jul 17 15:51:46.466 2018,0,BACK
40,482.223,Tue Jul 17 15:51:46.538 2018,1,BACK
41,482.311,Tue Jul 17 15:51:46.627 2018,0,BACK
42,482.375,Tue Jul 17 15:51:46.691 2018,1,BACK
43,482.463,Tue Jul 17 15:51:46.779 2018,0,BACK
44,482.527,Tue Jul 17 15:51:46.843 2018,1,BACK
45,482.599,Tue Jul 17 15:51:46.915 2018,0,BACK
46,482.687,Tue Jul 17 15:51:47.003 2018,1,BACK
