Time,BtoB
,2770
,2660
,1830
,2750
,3090
,2480
,2280
,3300
,7180
,2420
,4560
,8530
,2060
,3520
,4090
,1030
,3090
,1760
,4270
,4020
,3490
,2920
,3090
,3120
,2550
,2830
,3120
,2890
,1260
,840
,3210
,3530
,2790
,3280
,2370
,2040
,3970
,3680
,2840
,2110
,3180
,5720
,2370
,1220
,2650
,2920
,3400
,2790
,2710
,3040
,3150
,2920
,3170
,670
,1780
,2990
,3130
,2810
,2810
,2090
,2310
,2810
,3350
,3010
,3100
,3010
,2970
,3830
,2420
,2820
,2650
,3120
,2750
,2910
,1530
,2030
,3000
,3260
,4200
,3190
,2470
,2660
,2800
,3380
,3530
,3920
,3850
,10250
,2760
,3440
,3000
,2460
,3420
,3500
,3710
,2720
,2690
,2740
,2890
,2440
,2470
,2750
,2700
,3030
,2490
,3010
,2480
,3840
,1520
,2760
,3040
,3350
,2590
,2910
,3040
,2540
,2980
,4050
,3320
,3490
,2510
,3260
,3090
,2840
,3040
,5400
,3300
,2970
,4630
,920
,1570
,3710
,3310
,750
,840
,1800
,2630
,2960
,2980
,3970
,2460
,3120
,2690
,2610
,2950
,900
,1740
,2930
,3180
,2100
,5560
,2540
,2780
,3310
,2660
,2610
,2670
,3900
,2010
,2870
,2880
,2770
,2860
,2590
,2430
,2850
,3210
,3450
,3420
,2580
,2910
,4350
,3620
,4070
,570
,2840
,3160
,2900
,3160
,2060
,3060
,2660
,3080
,2470
,2720
,2560
,4510
,1010
,2420
,3280
,2440
,540
,2200
,2890
,2520
,3410
,2570
,3250
,3190
,3200
,3120
,3130
,3850
,2030
,3300
,2990
,6450
,2120
,2950
,2090
,2810
,2910
,3250
,3270
,3010
,560
,2000
,4120
,2410
,3470
,4750
,5090
,8710
,4810
,1990
,4430
,2960
,3190
,2440
,3200
,2100
,2160
,2450
,2770
,2530
,2420
,2500
,3190
,2860
,3850
,2720
,2520
,3120
,2980
,2920
,2670
,2390
,2740
,2510
,2960
,2520
,2780
,6810
,2290
,3050
,3250
,2940
,2660
,3560
,2660
,2850
,2010
,1390
,2300
,3520
,1150
,2480
,2860
,2940
,3470
,2960
,3730
,2670
,3880
,3270
,2020
