Frame#,Time,Perspiration
0,0,0.00378188
2,0.1263345,0.00640009
4,0.2722964,0.004266699
6,0.2773097,0.003799831
7,0.3941201,0.009333176
8,0.5264714,0.005279997
9,0.7981448,0.00335994
10,0.9400218,0.007314272
12,1.060846,0.004799958
13,1.196187,0.003022293
14,1.327548,0.01191125
15,1.460902,0.005745523
16,1.609297,0.004622078
17,1.728614,0.002164697
18,1.862971,0.002200101
19,1.994319,0.004114256
20,1.996326,0.002971347
21,2.138703,0.002559904
23,2.262997,0.002036457
24,2.396351,0.003839932
25,2.530708,0.004599906
28,2.668576,0.004307608
29,2.795693,0.00548553
30,2.931052,0.004533312
31,2.948599,0.004654564
33,3.063405,0.004654564
34,3.196283,0.006720033
35,3.348186,0.007253299
36,3.463491,0.004800084
37,3.595843,0.006133385
38,3.7302,0.004799871
39,3.866641,0.006399784
40,3.998961,0.002559995
41,4.130811,0.003520039
42,4.264165,0.006199941
43,4.41245,0.00596366
45,4.532268,0.004194605
47,4.665122,0.006800006
48,4.798977,0.00480022
49,4.93082,0.008484746
50,5.065176,0.005958725
51,5.20304,0.005841745
52,5.346133,0.004053478
53,5.465953,0.01005724
54,5.598319,0.009519948
55,5.75323,0.00819602
56,5.867533,0.004622162
57,6.000411,0.007174118
59,6.150838,0.004072775
60,6.265108,0.002971434
61,6.410495,0.00159991
63,6.53282,0.002000041
64,6.667178,0.003299922
65,6.804806,0.004479778
66,6.944178,0.001942859
67,7.067503,0.002285775
68,7.198854,0.002399991
69,7.332211,0.004400087
70,7.477603,0.00160003
72,7.599919,0.003199956
73,7.736281,0.005511025
74,7.867632,0.01000011
75,8.001999,0.004114311
76,8.134341,0.004533388
77,8.267694,0.00266667
78,8.407066,0.003520039
79,8.550444,0.001600012
81,8.669761,0.01021538
82,8.80111,0.002800128
83,8.93647,0.002472757
84,9.087873,0.006518659
85,9.214208,0.01045725
86,9.33553,0.008509078
87,9.469887,0.01300747
88,9.603242,0.006256588
90,9.736596,0.008574982
92,9.875966,0.007943865
93,9.879977,0.005485733
95,10.00531,0.005485733
98,10.13666,0.01143689
100,10.27102,0.01475996
101,10.40236,0.00827527
102,10.54976,0.00479994
103,10.67008,0.005929504
104,10.80343,0.004526858
105,10.93779,0.004988194
106,11.07014,0.004266618
107,11.2054,0.007225822
108,11.33927,0.009443784
109,11.35431,0.005937663
111,11.47564,0.005937663
112,11.60398,0.008617477
114,11.73835,0.004927982
116,11.87227,0.002742852
117,12.00512,0.004728807
118,12.13847,0.007352361
119,12.27183,0.004526947
120,12.40468,0.005200238
121,12.53811,0.005183993
122,12.67449,0.003866628
123,12.80522,0.003733257
124,12.93911,0.004430679
125,13.07346,0.005415421
126,13.20582,0.007433318
127,13.34519,0.006865458
128,13.35522,0.005232524
129,13.47293,0.006439989
130,13.60779,0.006400191
131,13.73964,0.004266717
132,13.873,0.005028435
133,14.00585,0.004844496
134,14.14022,0.004000054
135,14.27306,0.008898149
136,14.40666,0.01514989
137,14.54001,0.007165152
138,14.67336,0.01158311
139,14.80672,0.003972443
140,14.94108,0.005648484
141,15.07443,0.007025318
142,15.20778,0.007288825
143,15.34214,0.005779564
144,15.35117,0.004651861
145,15.47652,0.005600002
146,15.62366,0.007450036
147,15.76102,0.00645825
150,15.87583,0.005028549
151,16.01019,0.003345349
153,16.14419,0.003707278
155,16.27654,0.00593547
156,16.4109,0.006211726
158,16.56631,0.006909185
162,16.67658,0.004847191
163,16.81043,0.005661625
165,16.95332,0.006080041
167,17.07664,0.007709218
169,17.21,0.006823514
171,17.34636,0.004881414
172,17.3614,0.005166681
173,17.47972,0.004867613
175,17.61106,0.007854507
177,17.75645,0.008689126
179,17.87777,0.007200101
180,18.01012,0.005261574
181,18.1455,0.006231757
182,18.27785,0.004492396
183,18.42825,0.007066621
184,18.54556,0.005057986
185,18.67691,0.004114202
186,18.83232,0.003866577
187,18.96167,0.005236308
188,19.07998,0.003438222
190,19.21233,0.005316057
191,19.3497,0.005480829
193,19.47804,0.004148225
194,19.61239,0.006624656
195,19.74675,0.007944823
196,19.88011,0.005718481
197,20.01346,0.004390757
198,20.17791,0.00616471
199,20.28228,0.005261092
200,20.42266,0.004312962
203,20.54957,0.00426676
204,20.67993,0.008080042
205,20.81427,0.004836356
206,20.95063,0.003614901
207,21.07998,0.004799964
208,21.23439,0.004088827
209,21.3507,0.005807515
210,21.47904,0.003766218
211,21.6144,0.004016261
212,21.74877,0.01200019
213,21.88211,0.01023315
214,22.01559,0.008690038
215,22.15147,0.008619199
216,22.28182,0.007174818
217,22.41582,0.01045326
218,22.55318,0.01084078
219,22.70054,0.0070079
220,22.81535,0.003999908
221,22.95592,0.003115707
223,23.08226,3.232839E-05
224,23.23462,0.004799915
226,23.34992,0.006399835
228,23.48478,0.00279996
229,23.61713,0.005169256
231,23.75208,0.005415539
232,23.88844,0.003200065
233,24.01853,0.005155724
234,24.15146,0.005400056
235,24.28289,0.006211672
236,24.41735,0.003040048
237,24.564,0.005005107
238,24.68431,0.005176582
239,24.8177,0.005187913
241,24.95258,0.005292198
242,25.08493,0.004225615
243,25.21691,0.01173334
244,25.35428,0.007138413
245,25.49114,0.007099829
247,25.5127,0.00731425
250,25.62249,0.00731425
252,25.76455,0.00375817
253,25.88587,0.004689596
255,26.02074,0.005599966
257,26.16989,0.005907752
259,26.2862,0.005599977
260,26.41949,0.003657114
261,26.55243,0.005999969
262,26.68599,0.005466586
263,26.81935,0.005527415
264,26.95621,0.00564703
265,27.08655,0.006892318
266,27.22392,0.007542723
269,27.35878,0.004631518
271,27.36229,0.006819054
272,27.49163,0.005028326
274,27.62498,0.006399988
276,27.76285,0.006034161
277,27.88668,0.003200002
278,28.02154,0.003314394
279,28.1564,0.003657092
280,28.28724,0.00697153
281,28.42261,0.006694778
282,28.55596,0.002953817
283,28.68881,0.002399983
284,28.82868,0.004463137
285,28.95555,0.004399951
286,29.0889,0.008205066
288,29.22301,0.006836399
290,29.35787,0.008000061
291,29.49122,0.003636447
293,29.6351,0.01051411
295,29.75693,0.006628657
296,29.89178,0.009919874
298,30.02364,0.006964594
300,30.15625,0.005511058
302,30.2896,0.003428467
303,30.42296,0.007359925
304,30.55732,0.007131494
305,30.7032,0.007314289
