Time,BtoB
,2900
,3340
,2610
,3200
,3450
,3270
,860
,1720
,2930
,2970
,3100
,3750
,3560
,2920
,2810
,3140
,3250
,3150
,2920
,3030
,2560
,3000
,3050
,3120
,3180
,2870
,3060
,3680
,2920
,3080
,2960
,3250
,3030
,3090
,3040
,3910
,2820
,3070
,3110
,3010
,2860
,3200
,3320
,3350
,3130
,2800
,2540
,2950
,3150
,2850
,2900
,2790
,3530
,3610
,3200
,2690
,3110
,2920
,1510
,1450
,3150
,2690
,3150
,3160
,2380
,1150
,1410
,3120
,2900
,3160
,3150
,1890
,1680
,2710
,2230
,1340
,3080
,2980
,3410
,3470
,3450
,3170
,3170
,3400
,3130
,3370
,2800
,3230
,3480
,3090
,4640
,3970
,3690
,3260
,2060
,1390
,1150
,1600
,3280
,4240
,3950
,1870
,1470
,2660
,3500
,3610
,3090
,3620
,2250
,3730
,3050
,2610
,3050
,2200
,3280
,3250
,3860
,4960
,1880
,3460
,3600
,3090
,3010
,3430
,3340
,3610
,4080
,3240
,3200
,3470
,2920
,2990
,3130
,3000
,2770
,3970
,3550
,3100
,3090
,4350
,3180
,4140
,1160
,1780
,3080
,3440
,3720
,3580
,3350
,3740
,3340
,3170
,3100
,3550
,3240
,3660
,3580
,3320
,2970
,3180
,3720
,3080
,3210
,3240
,2580
,3260
,2900
,3560
,3110
,2910
,3240
,3180
,3010
,3350
,3270
,3300
,2950
,3220
,3330
,3390
,3360
,3660
,2700
,3140
,3080
,2680
,2960
,3150
,2880
,2990
,3030
,3810
,3310
,3150
,3440
,3090
,2730
,3550
,2880
,2890
,3280
,3480
,3220
,3020
,3000
,2870
,2730
,2960
,3030
,3530
,2890
,2620
,5480
,2910
,1310
,2550
,4380
,2960
,3590
,3880
,3410
,3040
,3140
,4230
,2560
,3200
,2980
,3510
,730
,710
,1750
,3610
,2970
,3050
,2900
,2480
,2570
,3250
,1050
,3420
,2960
,4530
,1560
,1270
,2510
,2340
,3230
,1620
,1690
,3300
,2070
,7530
,3680
,3180
,2970
,3570
,1030
,2490
,3450
,2410
,3070
,2890
,3490
,3590
,2810
,3470
,4600
,3060
,3330
,3450
,3800
,2870
,2650
,2990
,3000
,2880
,3630
,3520
,3070
,3270
,3180
,3690
,3660
,2900
,3250
,3270
,3860
,3730
,3640
,3160
,3760
,3110
,3460
,3180
,3520
,3160
,3370
,3400
,3270
,2590
,4070
,3840
,3400
,3670
,3280
,3150
,3360
,3090
,3930
,2300
,3320
,3420
,2940
,3750
,2820
,3150
,3240
,4120
,2410
,7570
,3910
,2130
,1770
,1560
,3300
,3670
,1360
,1040
,4230
,4270
,4190
,3520
,2990
,7630
,2460
,4280
,3520
,3700
,1630
,1550
,3350
,1610
,1510
,1760
,1570
,3750
,3390
,3270
,3180
,3620
,3470
,3260
,3340
,2910
,3190
,3820
,2070
,1260
,4630
,3810
,3430
,3300
,3280
,2710
,2780
,1520
,3310
,2060
,4990
,2970
,3190
,2870
,2750
,3500
,3260
,3320
,1570
,2390
,3150
,3160
,3470
,2850
,2860
,2840
,3560
,2610
,2920
,3240
,2630
,3190
,3430
,1290
,610
,1350
,2330
,3520
,3870
,4020
,1990
,3220
,4060
,4270
,3070
,2390
,10890
,3080
,6090
,2970
,3030
,2950
,3300
,3120
,2950
,3230
,3110
,3370
,2640
,1420
,2620
,3590
,3160
,2910
,2280
,1430
,3260
,1170
,2140
,3060
,5110
,2100
,2510
,4280
,3190
,4340
,4140
,2760
,2980
,3520
,3570
,3910
,4040
,3200
,2780
,3860
,2600
,3370
,2710
,3280
,3420
,2570
,3290
,3350
,3370
,3700
,3360
,3140
,3580
,3190
,3020
,3830
,3340
,4180
,2700
,2920
,3180
,3360
,3010
,6490
,2830
,3680
,2800
,3280
,3220
,3090
,3080
,3410
,3110
,2770
,2960
,2960
,3240
,2840
,3260
,3630
,5040
,3070
,2300
,3820
,3720
,3860
,3610
,3150
,2910
,3420
,1650
,1760
,2550
,3290
,3040
,2850
,2790
,3460
,3020
,3720
,3010
,2790
,3570
,3770
,3200
,4320
,3140
,3170
,2810
,3180
,3360
,3100
,2970
