"Session","StartTime","EndTime"
"RestingBaseline",2018-06-18 11:45:46,2018-06-18 11:49:56
"BaselineWriting",2018-06-18 11:50:32,2018-06-18 11:55:32
"StressCondition",2018-06-18 11:56:19,2018-06-18 12:01:19
"DualTask",2018-06-18 12:03:37,2018-06-18 12:53:37
"Presentation",2018-06-18 13:03:24,2018-06-18 13:08:40
