Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,9.208406,Tue Jul 17 13:49:45.079 2018,208.0735,Tue Jul 17 13:53:03.944 2018
Session 2,4196.849,Tue Jul 17 14:59:32.720 2018,4781.433,Tue Jul 17 15:09:17.303 2018
