1529602300.000000, 1529602300.000000, 1529602300.000000
32.000000, 32.000000, 32.000000
-78,22,-28
-85,20,-30
-114,18,-29
-126,14,-15
-41,8,-2
-8,-32,-13
23,-53,-10
27,-48,5
-25,-27,30
-54,-20,33
-27,-14,31
-23,-16,22
-24,-29,7
-26,-22,-3
-68,-1,-20
-62,1,-19
-22,21,-21
-63,29,-38
-71,17,-33
-47,25,-35
-94,26,-58
-71,32,-52
-38,37,-46
-58,42,-52
-50,41,-45
-16,41,-37
-30,35,-42
-48,26,-46
-37,25,-48
-14,34,-56
-46,36,-58
-31,49,-43
-21,51,-46
-32,50,-50
-23,37,-55
-28,34,-56
-17,26,-53
-21,26,-52
-20,32,-46
-15,35,-46
-25,38,-47
-13,40,-45
-8,40,-53
-16,40,-56
-17,42,-55
-11,42,-55
-6,36,-57
-9,34,-54
-10,28,-50
-28,31,-54
-30,31,-56
-21,33,-48
-13,35,-48
2,40,-50
3,42,-52
2,45,-56
5,47,-63
-7,45,-76
-19,40,-77
-41,37,-55
-24,36,-39
-33,37,-38
-17,33,-31
-8,36,-29
-46,32,-47
-42,31,-52
-26,29,-60
-31,26,-65
-70,28,-63
-22,30,-56
-52,32,-60
-76,36,-57
32,28,-35
30,22,-29
-59,12,-41
-56,32,-33
-56,28,-23
-53,20,-6
-48,23,-5
-80,14,-1
-85,2,0
-84,6,-9
-79,-1,-11
-61,-8,-10
-69,-7,-9
-64,-10,14
-53,-7,22
-47,3,20
-72,5,3
-77,1,-2
-70,4,-4
-62,1,-5
-50,3,7
-51,3,11
-60,1,-3
-54,4,-4
-54,7,4
-61,12,6
-62,13,-11
-60,13,-13
-54,11,-1
-56,11,-5
-68,12,-17
-72,12,-14
-69,12,-15
-67,11,-18
-71,9,-23
-73,10,-25
-71,5,-24
-56,6,-17
-57,13,-13
-51,19,0
-54,19,4
-67,24,-5
-63,27,-6
-58,27,-5
-75,20,-15
-72,23,-14
-62,23,-7
-57,22,-4
-50,23,-1
-57,21,-5
-67,20,-13
-63,20,-11
-60,21,-8
-62,20,-10
-59,23,-9
-61,23,-8
-65,24,-9
-54,26,-4
-56,24,-4
-57,25,-5
-58,26,-6
-60,24,-4
-57,24,-3
-48,26,-7
-46,26,-11
-64,23,-19
-61,26,-18
-62,26,-15
-56,29,-15
-57,29,-12
-74,29,-12
-56,36,-18
-43,34,-20
-53,31,-24
-51,28,-24
-46,29,-22
-40,30,-26
-34,34,-29
-50,42,-32
-52,45,-31
-45,45,-24
-75,44,-26
-68,46,-15
-55,34,-28
-67,30,-30
-42,35,-15
-14,41,-14
-59,38,-38
-57,35,-35
-18,45,-13
-19,45,-21
-74,41,-36
-64,35,-35
-22,29,-36
-34,34,-25
-41,47,2
-45,50,6
-55,39,-22
-43,36,-32
-54,31,-36
-43,26,-27
-19,31,-6
-30,35,-5
-33,37,-8
-43,41,-14
-41,46,-18
-44,53,-16
-56,54,-19
-63,50,-19
-69,46,-15
-51,50,9
-45,40,-10
-42,35,-18
-43,36,-18
-51,38,-23
-52,38,-27
-54,42,-26
-38,48,-7
-29,50,-7
-44,53,-9
-52,44,-26
-43,45,-26
-44,44,-25
-45,42,-20
-40,47,-17
-40,46,-17
-43,46,-26
-40,46,-25
-38,47,-24
-39,46,-26
-41,47,-27
-51,48,-21
-45,50,-11
-39,48,-14
-34,47,-26
-45,45,-31
-36,45,-27
-51,41,-29
-45,40,-26
-25,35,-23
-22,38,-23
-41,39,-32
-46,40,-36
-32,39,-26
-33,40,-21
-56,41,-32
-56,44,-35
-63,16,-74
-1,47,-32
-5,62,9
-115,25,-28
-98,24,-24
-14,27,-1
-30,39,-12
-33,38,-5
-21,39,-1
-79,22,-1
-101,22,0
-64,14,25
-80,10,17
-45,6,15
-30,2,14
-21,2,1
-67,-33,-14
-62,54,24
-54,-2,24
-60,7,25
-86,25,46
-78,19,55
-68,1,31
-58,0,39
-57,8,42
-59,10,39
-58,8,29
-42,-2,17
-50,-12,17
-58,5,9
-52,-5,23
-66,-13,9
-43,-77,4
-63,-6,20
-75,-19,34
-61,-10,27
-69,-6,13
-49,-9,9
-48,-14,-2
-57,-12,3
-64,-7,10
-55,-15,19
-52,-17,19
-44,-20,11
-55,-7,-13
-79,2,-31
-77,-12,-16
-77,-18,-10
-54,-18,-28
-62,0,-44
-69,4,-39
-67,-10,-36
-33,-19,-15
-35,-15,-9
-49,-11,-7
-57,-13,-20
-59,-19,-30
-67,-17,-24
-57,-20,-22
-56,-23,-36
-55,-19,-29
-53,-15,-29
-55,-13,-32
-53,-17,-33
-55,-16,-34
-53,-17,-28
-54,-17,-30
-61,-14,-34
-58,-13,-28
-54,-17,-24
-57,-16,-24
-53,-17,-23
-55,-14,-25
-54,-12,-26
-55,-14,-37
-58,-12,-28
-56,-14,-30
-54,-15,-35
-52,-13,-39
-55,-14,-35
-60,-15,-30
-58,-18,-35
-59,-14,-30
-59,-11,-31
-62,-16,-20
-52,-9,-16
-47,-10,-26
-57,-16,-32
-61,-17,-30
-59,-17,-23
-53,-17,-35
-47,-16,-19
-54,-12,-17
-56,-16,-32
-55,-12,-34
-37,-16,-18
-64,-12,-25
-49,-16,-20
-58,-13,-21
-60,-17,-18
-59,-15,-26
-59,-12,-30
-58,-13,-18
-58,-16,-18
-56,-10,-22
-56,-5,-23
-61,-13,-27
-61,-18,-22
-65,-14,-17
-65,-13,-16
-61,-14,-16
-64,-12,-11
-63,-12,-11
-59,-11,-12
-61,-12,-14
-66,-4,-15
-64,-4,-16
-60,-4,-16
-60,-2,-15
-62,-6,-9
-66,-3,-8
-65,-9,-9
-64,-8,-9
-63,-6,-12
-65,-4,-11
-64,-4,-12
-61,-6,-13
-61,-4,-13
-62,-8,-12
-63,-9,-11
-63,-8,-13
-64,-8,-14
-69,2,-13
-58,-7,-17
-61,-5,-11
-61,-1,-8
-63,-3,-7
-59,-7,-10
-64,-4,-22
-71,-6,-4
-63,-9,-21
-53,0,-22
-59,1,-12
-67,-1,-6
-62,-8,-16
-58,-4,-34
-63,-2,-28
-61,-1,-28
-57,-4,-28
-56,-3,-31
-51,-4,-28
-57,-3,-38
-49,-3,-33
-46,-1,-29
-58,0,-40
-65,-4,-47
-50,-5,-39
-44,-4,-43
-57,-4,-34
-60,-2,-31
-48,-4,-36
-49,-5,-39
-50,1,-40
-56,2,-33
-40,1,-34
-43,-9,-47
-44,-4,-41
-42,10,-32
-18,9,-32
-60,-22,-47
-45,-13,-43
-55,4,-46
-43,-5,-48
