"Session","StartTime","EndTime"
"RestingBaseline",2018-06-25 16:15:23,2018-06-25 16:18:14
"BaselineWriting",2018-06-25 16:19:20,2018-06-25 16:24:20
"StressCondition",2018-06-25 16:26:07,2018-06-25 16:31:07
"DualTask",2018-06-25 16:31:59,2018-06-25 17:21:59
"Presentation",2018-06-25 17:34:12,2018-06-25 17:38:30
