"Session","StartTime","EndTime"
"RestingBaseline",2018-06-18 13:20:07,2018-06-18 13:25:05
"BaselineWriting",2018-06-18 13:25:50,2018-06-18 13:30:50
"StressCondition",2018-06-18 13:31:31,2018-06-18 13:36:31
"DualTask",2018-06-18 13:38:09,2018-06-18 14:28:09
"Presentation",2018-06-18 14:38:22,2018-06-18 14:40:22
