"Subject","Condition","Session","PerformanceCriteria","Value"
"T166","BL","ST","MechanicErrorsRelative","0.00595238095238095"
"T172","BL","DT","MechanicErrorsRelative","0.0181818181818182"
"T172","BL","ST","MechanicErrorsRelative","0"
"T173","BL","DT","MechanicErrorsRelative","0.0147492625368732"
"T173","BL","ST","MechanicErrorsRelative","0.00862068965517241"
"T174","BL","DT","MechanicErrorsRelative","0.0213903743315508"
"T174","BL","ST","MechanicErrorsRelative","0.015625"
"T175","BL","DT","MechanicErrorsRelative","0.0346534653465347"
"T175","BL","ST","MechanicErrorsRelative","0.0121951219512195"
"T176","BL","DT","MechanicErrorsRelative","0.0407239819004525"
"T176","BL","ST","MechanicErrorsRelative","0.0530973451327434"
"T178","BL","DT","MechanicErrorsRelative","0.0241635687732342"
"T178","BL","ST","MechanicErrorsRelative","0"
"T003","IH","DT","UsageErrorsRelative","0.00544959128065395"
"T003","IH","ST","UsageErrorsRelative","0"
"T005","IH","DT","UsageErrorsRelative","0.0171428571428571"
"T005","IH","ST","UsageErrorsRelative","0.00684931506849315"
"T009","IH","DT","UsageErrorsRelative","0.00442477876106195"
"T009","IH","ST","UsageErrorsRelative","0.0104166666666667"
"T011","IH","DT","UsageErrorsRelative","0"
"T011","IH","ST","UsageErrorsRelative","0.00813008130081301"
"T016","BH","DT","UsageErrorsRelative","0.00333333333333333"
"T016","BH","ST","UsageErrorsRelative","0.0232558139534884"
"T019","BH","DT","UsageErrorsRelative","0.0120481927710843"
"T019","BH","ST","UsageErrorsRelative","0"
"T021","BH","DT","UsageErrorsRelative","0.00766283524904215"
"T021","BH","ST","UsageErrorsRelative","0.0099009900990099"
"T031","IL","DT","UsageErrorsRelative","0"
"T031","IL","ST","UsageErrorsRelative","0"
"T032","IL","DT","UsageErrorsRelative","0.0115606936416185"
"T032","IL","ST","UsageErrorsRelative","0.0140845070422535"
"T035","IL","DT","UsageErrorsRelative","0"
"T035","IL","ST","UsageErrorsRelative","0"
"T037","IL","DT","UsageErrorsRelative","0.0158227848101266"
"T037","IL","ST","UsageErrorsRelative","0"
"T046","BL","DT","UsageErrorsRelative","0.0271493212669683"
"T046","BL","ST","UsageErrorsRelative","0"
"T047","BL","DT","UsageErrorsRelative","0.00975609756097561"
"T047","BL","ST","UsageErrorsRelative","0.00813008130081301"
"T051","BL","DT","UsageErrorsRelative","0.00788643533123028"
"T051","BL","ST","UsageErrorsRelative","0"
"T061","IH","DT","UsageErrorsRelative","0.00384615384615385"
"T061","IH","ST","UsageErrorsRelative","0"
"T063","IH","DT","UsageErrorsRelative","0.00263157894736842"
"T063","IH","ST","UsageErrorsRelative","0"
"T064","IH","DT","UsageErrorsRelative","0"
"T064","IH","ST","UsageErrorsRelative","0"
"T065","IH","DT","UsageErrorsRelative","0.0027027027027027"
"T065","IH","ST","UsageErrorsRelative","0"
"T066","IH","DT","UsageErrorsRelative","0.0069204152249135"
"T066","IH","ST","UsageErrorsRelative","0.0102040816326531"
"T068","IH","DT","UsageErrorsRelative","0.00187265917602996"
"T068","IH","ST","UsageErrorsRelative","0.00546448087431694"
"T077","BH","DT","UsageErrorsRelative","0.0103626943005181"
"T077","BH","ST","UsageErrorsRelative","0.0168067226890756"
"T078","BH","DT","UsageErrorsRelative","0.0384615384615385"
"T078","BH","ST","UsageErrorsRelative","0.00833333333333333"
"T079","BH","DT","UsageErrorsRelative","0"
"T079","BH","ST","UsageErrorsRelative","0"
"T082","BH","DT","UsageErrorsRelative","0.010230179028133"
"T082","BH","ST","UsageErrorsRelative","0.00645161290322581"
"T083","BH","DT","UsageErrorsRelative","0.02"
"T083","BH","ST","UsageErrorsRelative","0"
"T084","BH","DT","UsageErrorsRelative","0.0150093808630394"
"T084","BH","ST","UsageErrorsRelative","0"
"T091","IL","DT","UsageErrorsRelative","0.013986013986014"
"T091","IL","ST","UsageErrorsRelative","0"
"T092","IL","DT","UsageErrorsRelative","0.0107238605898123"
"T092","IL","ST","UsageErrorsRelative","0.0225563909774436"
"T093","IL","DT","UsageErrorsRelative","0.014018691588785"
"T093","IL","ST","UsageErrorsRelative","0"
"T094","IL","DT","UsageErrorsRelative","0.0298507462686567"
"T094","IL","ST","UsageErrorsRelative","0"
"T096","IL","DT","UsageErrorsRelative","0.00746268656716418"
"T096","IL","ST","UsageErrorsRelative","0.0075187969924812"
"T098","IL","DT","UsageErrorsRelative","0.0119760479041916"
"T098","IL","ST","UsageErrorsRelative","0"
"T099","IL","DT","UsageErrorsRelative","0"
"T099","IL","ST","UsageErrorsRelative","0.0140845070422535"
"T106","BL","DT","UsageErrorsRelative","0"
"T106","BL","ST","UsageErrorsRelative","0"
"T112","BL","DT","UsageErrorsRelative","0"
"T112","BL","ST","UsageErrorsRelative","0"
"T113","BL","DT","UsageErrorsRelative","0"
"T113","BL","ST","UsageErrorsRelative","0"
"T114","BL","DT","UsageErrorsRelative","0.00214592274678112"
"T114","BL","ST","UsageErrorsRelative","0"
"T121","IH","DT","UsageErrorsRelative","0.00404858299595142"
"T121","IH","ST","UsageErrorsRelative","0.00970873786407767"
"T122","IH","DT","UsageErrorsRelative","0.015625"
"T122","IH","ST","UsageErrorsRelative","0"
"T124","IH","DT","UsageErrorsRelative","0.00390625"
"T124","IH","ST","UsageErrorsRelative","0"
"T126","IH","DT","UsageErrorsRelative","0.0180831826401447"
"T126","IH","ST","UsageErrorsRelative","0.00793650793650794"
"T128","IH","DT","UsageErrorsRelative","0"
"T128","IH","ST","UsageErrorsRelative","0"
"T130","IH","DT","UsageErrorsRelative","0.00190114068441065"
"T130","IH","ST","UsageErrorsRelative","0"
"T132","IH","DT","UsageErrorsRelative","0.00683760683760684"
"T132","IH","ST","UsageErrorsRelative","0.0045045045045045"
"T138","BH","DT","UsageErrorsRelative","0.00355871886120996"
"T138","BH","ST","UsageErrorsRelative","0.00561797752808989"
"T139","BH","DT","UsageErrorsRelative","0.0242424242424242"
"T139","BH","ST","UsageErrorsRelative","0.008"
"T141","BH","DT","UsageErrorsRelative","0.00537634408602151"
"T141","BH","ST","UsageErrorsRelative","0"
"T144","BH","DT","UsageErrorsRelative","0.00555555555555556"
"T144","BH","ST","UsageErrorsRelative","0"
"T145","BH","DT","UsageErrorsRelative","0.00198019801980198"
"T145","BH","ST","UsageErrorsRelative","0"
"T151","IL","DT","UsageErrorsRelative","0"
"T151","IL","ST","UsageErrorsRelative","0.0133333333333333"
"T152","IL","DT","UsageErrorsRelative","0.00421940928270042"
"T152","IL","ST","UsageErrorsRelative","0"
"T154","IL","DT","UsageErrorsRelative","0.00749063670411985"
"T154","IL","ST","UsageErrorsRelative","0.00476190476190476"
"T156","IL","DT","UsageErrorsRelative","0.00492610837438424"
"T156","IL","ST","UsageErrorsRelative","0.0144927536231884"
"T157","IL","DT","UsageErrorsRelative","0.00561797752808989"
"T157","IL","ST","UsageErrorsRelative","0.0181818181818182"
"T162","IL","DT","UsageErrorsRelative","0.00557620817843866"
"T162","IL","ST","UsageErrorsRelative","0.01"
"T166","BL","DT","UsageErrorsRelative","0.00266666666666667"
"T166","BL","ST","UsageErrorsRelative","0"
"T172","BL","DT","UsageErrorsRelative","0"
"T172","BL","ST","UsageErrorsRelative","0.0103092783505155"
"T173","BL","DT","UsageErrorsRelative","0"
"T173","BL","ST","UsageErrorsRelative","0.00862068965517241"
"T174","BL","DT","UsageErrorsRelative","0.0053475935828877"
"T174","BL","ST","UsageErrorsRelative","0.0078125"
"T175","BL","DT","UsageErrorsRelative","0.00247524752475248"
"T175","BL","ST","UsageErrorsRelative","0.00609756097560976"
"T176","BL","DT","UsageErrorsRelative","0.00904977375565611"
"T176","BL","ST","UsageErrorsRelative","0.0176991150442478"
"T178","BL","DT","UsageErrorsRelative","0.00743494423791822"
"T178","BL","ST","UsageErrorsRelative","0.015748031496063"
"T003","IH","DT","StyleErrorsRelative","0.0272479564032698"
"T003","IH","ST","StyleErrorsRelative","0.0952380952380952"
"T005","IH","DT","StyleErrorsRelative","0.0285714285714286"
"T005","IH","ST","StyleErrorsRelative","0.0547945205479452"
"T009","IH","DT","StyleErrorsRelative","0.0353982300884956"
"T009","IH","ST","StyleErrorsRelative","0.09375"
"T011","IH","DT","StyleErrorsRelative","0.043010752688172"
"T011","IH","ST","StyleErrorsRelative","0.032520325203252"
"T016","BH","DT","StyleErrorsRelative","0.0333333333333333"
"T016","BH","ST","StyleErrorsRelative","0"
"T019","BH","DT","StyleErrorsRelative","0.114457831325301"
"T019","BH","ST","StyleErrorsRelative","0.154545454545455"
"T021","BH","DT","StyleErrorsRelative","0.0268199233716475"
"T021","BH","ST","StyleErrorsRelative","0.0693069306930693"
"T031","IL","DT","StyleErrorsRelative","0"
"T031","IL","ST","StyleErrorsRelative","0.116071428571429"
"T032","IL","DT","StyleErrorsRelative","0.0751445086705202"
"T032","IL","ST","StyleErrorsRelative","0.267605633802817"
"T035","IL","DT","StyleErrorsRelative","0.17687074829932"
"T035","IL","ST","StyleErrorsRelative","0"
"T037","IL","DT","StyleErrorsRelative","0.136075949367089"
"T037","IL","ST","StyleErrorsRelative","0.0645161290322581"
"T046","BL","DT","StyleErrorsRelative","0.0316742081447964"
"T046","BL","ST","StyleErrorsRelative","0"
"T047","BL","DT","StyleErrorsRelative","0.0682926829268293"
"T047","BL","ST","StyleErrorsRelative","0.040650406504065"
"T051","BL","DT","StyleErrorsRelative","0.0394321766561514"
"T051","BL","ST","StyleErrorsRelative","0.032520325203252"
"T061","IH","DT","StyleErrorsRelative","0.00192307692307692"
"T061","IH","ST","StyleErrorsRelative","0.06"
"T063","IH","DT","StyleErrorsRelative","0"
"T063","IH","ST","StyleErrorsRelative","0.0583333333333333"
"T064","IH","DT","StyleErrorsRelative","0.0305343511450382"
"T064","IH","ST","StyleErrorsRelative","0.222222222222222"
"T065","IH","DT","StyleErrorsRelative","0"
"T065","IH","ST","StyleErrorsRelative","0.0578947368421053"
"T066","IH","DT","StyleErrorsRelative","0"
"T066","IH","ST","StyleErrorsRelative","0.0612244897959184"
"T068","IH","DT","StyleErrorsRelative","0.00936329588014981"
"T068","IH","ST","StyleErrorsRelative","0"
"T077","BH","DT","StyleErrorsRelative","0"
"T077","BH","ST","StyleErrorsRelative","0.0672268907563025"
"T078","BH","DT","StyleErrorsRelative","0.0576923076923077"
"T078","BH","ST","StyleErrorsRelative","0.166666666666667"
"T079","BH","DT","StyleErrorsRelative","0.0512820512820513"
"T079","BH","ST","StyleErrorsRelative","0.146341463414634"
"T082","BH","DT","StyleErrorsRelative","0.0562659846547315"
"T082","BH","ST","StyleErrorsRelative","0.232258064516129"
"T083","BH","DT","StyleErrorsRelative","0.06"
"T083","BH","ST","StyleErrorsRelative","0"
"T084","BH","DT","StyleErrorsRelative","0"
"T084","BH","ST","StyleErrorsRelative","0.13013698630137"
"T091","IL","DT","StyleErrorsRelative","0.027972027972028"
"T091","IL","ST","StyleErrorsRelative","0.0321100917431193"
"T092","IL","DT","StyleErrorsRelative","0.0938337801608579"
"T092","IL","ST","StyleErrorsRelative","0.150375939849624"
"T093","IL","DT","StyleErrorsRelative","0.0700934579439252"
"T093","IL","ST","StyleErrorsRelative","0.216216216216216"
"T094","IL","DT","StyleErrorsRelative","0.104477611940299"
"T094","IL","ST","StyleErrorsRelative","0.0288461538461538"
"T096","IL","DT","StyleErrorsRelative","0.00248756218905473"
"T096","IL","ST","StyleErrorsRelative","0"
"T098","IL","DT","StyleErrorsRelative","0.0029940119760479"
"T098","IL","ST","StyleErrorsRelative","0.031496062992126"
"T099","IL","DT","StyleErrorsRelative","0.0266272189349112"
"T099","IL","ST","StyleErrorsRelative","0.0845070422535211"
"T106","BL","DT","StyleErrorsRelative","0.175675675675676"
"T106","BL","ST","StyleErrorsRelative","0.219047619047619"
"T112","BL","DT","StyleErrorsRelative","0"
"T112","BL","ST","StyleErrorsRelative","0.113636363636364"
"T113","BL","DT","StyleErrorsRelative","0.0576923076923077"
"T113","BL","ST","StyleErrorsRelative","0.141509433962264"
"T114","BL","DT","StyleErrorsRelative","0.00214592274678112"
"T114","BL","ST","StyleErrorsRelative","0.00531914893617021"
"T121","IH","DT","StyleErrorsRelative","0.00202429149797571"
"T121","IH","ST","StyleErrorsRelative","0.116504854368932"
"T122","IH","DT","StyleErrorsRelative","0.03515625"
"T122","IH","ST","StyleErrorsRelative","0"
"T124","IH","DT","StyleErrorsRelative","0.00390625"
"T124","IH","ST","StyleErrorsRelative","0.055045871559633"
"T126","IH","DT","StyleErrorsRelative","0.00180831826401447"
"T126","IH","ST","StyleErrorsRelative","0.0317460317460317"
"T128","IH","DT","StyleErrorsRelative","0"
"T128","IH","ST","StyleErrorsRelative","0.196581196581197"
"T130","IH","DT","StyleErrorsRelative","0.0114068441064639"
"T130","IH","ST","StyleErrorsRelative","0.00526315789473684"
"T132","IH","DT","StyleErrorsRelative","0.00170940170940171"
"T132","IH","ST","StyleErrorsRelative","0.0540540540540541"
"T138","BH","DT","StyleErrorsRelative","0.0569395017793594"
"T138","BH","ST","StyleErrorsRelative","0.0561797752808989"
"T139","BH","DT","StyleErrorsRelative","0.00606060606060606"
"T139","BH","ST","StyleErrorsRelative","0.032"
"T141","BH","DT","StyleErrorsRelative","0"
"T141","BH","ST","StyleErrorsRelative","0.112068965517241"
"T144","BH","DT","StyleErrorsRelative","0.0611111111111111"
"T144","BH","ST","StyleErrorsRelative","0.113095238095238"
"T145","BH","DT","StyleErrorsRelative","0"
"T145","BH","ST","StyleErrorsRelative","0.0693069306930693"
"T151","IL","DT","StyleErrorsRelative","0.0824468085106383"
"T151","IL","ST","StyleErrorsRelative","0.0266666666666667"
"T152","IL","DT","StyleErrorsRelative","0.0253164556962025"
"T152","IL","ST","StyleErrorsRelative","0.144444444444444"
"T154","IL","DT","StyleErrorsRelative","0.0561797752808989"
"T154","IL","ST","StyleErrorsRelative","0"
"T156","IL","DT","StyleErrorsRelative","0.0295566502463054"
"T156","IL","ST","StyleErrorsRelative","0.0579710144927536"
"T157","IL","DT","StyleErrorsRelative","0.143258426966292"
"T157","IL","ST","StyleErrorsRelative","0"
"T162","IL","DT","StyleErrorsRelative","0.00185873605947955"
"T162","IL","ST","StyleErrorsRelative","0.06"
"T166","BL","DT","StyleErrorsRelative","0"
"T166","BL","ST","StyleErrorsRelative","0"
"T172","BL","DT","StyleErrorsRelative","0.0363636363636364"
"T172","BL","ST","StyleErrorsRelative","0"
"T173","BL","DT","StyleErrorsRelative","0.028023598820059"
"T173","BL","ST","StyleErrorsRelative","0.0301724137931034"
"T174","BL","DT","StyleErrorsRelative","0.0294117647058824"
"T174","BL","ST","StyleErrorsRelative","0.1328125"
"T175","BL","DT","StyleErrorsRelative","0.00247524752475248"
"T175","BL","ST","StyleErrorsRelative","0.0731707317073171"
"T176","BL","DT","StyleErrorsRelative","0.00226244343891403"
"T176","BL","ST","StyleErrorsRelative","0.0707964601769911"
"T178","BL","DT","StyleErrorsRelative","0.0371747211895911"
"T178","BL","ST","StyleErrorsRelative","0.031496062992126"
"T003","IH","DT","DeleteKeyRelative","0.206505667816658"
"T003","IH","ST","DeleteKeyRelative","0.0893371757925072"
"T005","IH","DT","DeleteKeyRelative","1.08048993875766"
"T005","IH","ST","DeleteKeyRelative","0.219288174512055"
"T009","IH","DT","DeleteKeyRelative","0.601346801346801"
"T009","IH","ST","DeleteKeyRelative","0.125"
"T011","IH","DT","DeleteKeyRelative","1.13541666666667"
"T011","IH","ST","DeleteKeyRelative","0.129427792915531"
"T016","BH","DT","DeleteKeyRelative","0.379217996786288"
"T016","BH","ST","DeleteKeyRelative","0.109533468559838"
"T019","BH","DT","DeleteKeyRelative","1.02837573385519"
"T019","BH","ST","DeleteKeyRelative","0.192109777015437"
"T021","BH","DT","DeleteKeyRelative","0.221556886227545"
"T021","BH","ST","DeleteKeyRelative","0.120805369127517"
"T031","IL","DT","DeleteKeyRelative","0.662534435261708"
"T031","IL","ST","DeleteKeyRelative","0.190625"
"T032","IL","DT","DeleteKeyRelative","0.81743119266055"
"T032","IL","ST","DeleteKeyRelative","0.354312354312354"
"T035","IL","DT","DeleteKeyRelative","0.445128205128205"
"T035","IL","ST","DeleteKeyRelative","0.122661122661123"
"T037","IL","DT","DeleteKeyRelative","0.336185203824862"
"T037","IL","ST","DeleteKeyRelative","0.225806451612903"
"T046","BL","DT","DeleteKeyRelative","0.901751713632902"
"T046","BL","ST","DeleteKeyRelative","0.311572700296736"
"T047","BL","DT","DeleteKeyRelative","0.403225806451613"
"T047","BL","ST","DeleteKeyRelative","0.0889212827988338"
"T051","BL","DT","DeleteKeyRelative","0.173890063424947"
"T051","BL","ST","DeleteKeyRelative","0.0641200545702592"
"T061","IH","DT","DeleteKeyRelative","0.379080612924717"
"T061","IH","ST","DeleteKeyRelative","0.558260869565217"
"T063","IH","DT","DeleteKeyRelative","0.465961945031712"
"T063","IH","ST","DeleteKeyRelative","0.224233983286908"
"T064","IH","DT","DeleteKeyRelative","0.789163722025913"
"T064","IH","ST","DeleteKeyRelative","0.305288461538462"
"T065","IH","DT","DeleteKeyRelative","0.248424842484248"
"T065","IH","ST","DeleteKeyRelative","0.121531100478469"
"T066","IH","DT","DeleteKeyRelative","0.71297429620563"
"T066","IH","ST","DeleteKeyRelative","0.181019332161687"
"T068","IH","DT","DeleteKeyRelative","0.376639219274169"
"T068","IH","ST","DeleteKeyRelative","0.162833486660534"
"T077","BH","DT","DeleteKeyRelative","0.396890343698854"
"T077","BH","ST","DeleteKeyRelative","0.30225988700565"
"T078","BH","DT","DeleteKeyRelative","0.863105175292154"
"T078","BH","ST","DeleteKeyRelative","0.123404255319149"
"T079","BH","DT","DeleteKeyRelative","0.835231078365707"
"T079","BH","ST","DeleteKeyRelative","0.345656192236599"
"T082","BH","DT","DeleteKeyRelative","0.44734693877551"
"T082","BH","ST","DeleteKeyRelative","0.16258570029383"
"T083","BH","DT","DeleteKeyRelative","0.759439707673569"
"T083","BH","ST","DeleteKeyRelative","0.325443786982249"
"T084","BH","DT","DeleteKeyRelative",NA
"T084","BH","ST","DeleteKeyRelative",NA
"T091","IL","DT","DeleteKeyRelative","0.317624521072797"
"T091","IL","ST","DeleteKeyRelative","0.0952380952380952"
"T092","IL","DT","DeleteKeyRelative",NA
"T092","IL","ST","DeleteKeyRelative",NA
"T093","IL","DT","DeleteKeyRelative","0.483098591549296"
"T093","IL","ST","DeleteKeyRelative","0.131578947368421"
"T094","IL","DT","DeleteKeyRelative","0.501210653753027"
"T094","IL","ST","DeleteKeyRelative","0.10016694490818"
"T096","IL","DT","DeleteKeyRelative","0.189878711836052"
"T096","IL","ST","DeleteKeyRelative","0.0835294117647059"
"T098","IL","DT","DeleteKeyRelative",NA
"T098","IL","ST","DeleteKeyRelative",NA
"T099","IL","DT","DeleteKeyRelative","0.158617424242424"
"T099","IL","ST","DeleteKeyRelative","0.0469314079422383"
"T106","BL","DT","DeleteKeyRelative","0.946169772256729"
"T106","BL","ST","DeleteKeyRelative","0.10321489001692"
"T112","BL","DT","DeleteKeyRelative","6.78"
"T112","BL","ST","DeleteKeyRelative","0.851851851851852"
"T113","BL","DT","DeleteKeyRelative","0.210955183340878"
"T113","BL","ST","DeleteKeyRelative","0.125960061443932"
"T114","BL","DT","DeleteKeyRelative","0.438405797101449"
"T114","BL","ST","DeleteKeyRelative","0.158045977011494"
"T121","IH","DT","DeleteKeyRelative","0.211938498643352"
"T121","IH","ST","DeleteKeyRelative","0.138888888888889"
"T122","IH","DT","DeleteKeyRelative",NA
"T122","IH","ST","DeleteKeyRelative",NA
"T124","IH","DT","DeleteKeyRelative",NA
"T124","IH","ST","DeleteKeyRelative",NA
"T126","IH","DT","DeleteKeyRelative","0.424013921113689"
"T126","IH","ST","DeleteKeyRelative","0.223390275952694"
"T128","IH","DT","DeleteKeyRelative","0.519565217391304"
"T128","IH","ST","DeleteKeyRelative","0.316816816816817"
"T130","IH","DT","DeleteKeyRelative","0.421002838221381"
"T130","IH","ST","DeleteKeyRelative","0.201158940397351"
"T132","IH","DT","DeleteKeyRelative","0.259084604715673"
"T132","IH","ST","DeleteKeyRelative","0.0650464617583989"
"T138","BH","DT","DeleteKeyRelative","0.592964824120603"
"T138","BH","ST","DeleteKeyRelative","0.173913043478261"
"T139","BH","DT","DeleteKeyRelative",NA
"T139","BH","ST","DeleteKeyRelative",NA
"T141","BH","DT","DeleteKeyRelative","0.867330016583748"
"T141","BH","ST","DeleteKeyRelative","0.173497267759563"
"T144","BH","DT","DeleteKeyRelative","1.3550135501355"
"T144","BH","ST","DeleteKeyRelative","0.192577733199599"
"T145","BH","DT","DeleteKeyRelative","0.554129647910497"
"T145","BH","ST","DeleteKeyRelative","0.336492890995261"
"T151","IL","DT","DeleteKeyRelative","0.456644674835061"
"T151","IL","ST","DeleteKeyRelative","0.161366313309776"
"T152","IL","DT","DeleteKeyRelative","0.338545207341944"
"T152","IL","ST","DeleteKeyRelative","0.116755793226381"
"T154","IL","DT","DeleteKeyRelative","0.80023161551824"
"T154","IL","ST","DeleteKeyRelative","0.213821138211382"
"T156","IL","DT","DeleteKeyRelative","0.308835027365129"
"T156","IL","ST","DeleteKeyRelative","0.0580046403712297"
"T157","IL","DT","DeleteKeyRelative","0.265611990008326"
"T157","IL","ST","DeleteKeyRelative","0.115482233502538"
"T162","IL","DT","DeleteKeyRelative","0.321957501609788"
"T162","IL","ST","DeleteKeyRelative","0.152209492635025"
"T166","BL","DT","DeleteKeyRelative","0.488440521227406"
"T166","BL","ST","DeleteKeyRelative","0.144787644787645"
"T172","BL","DT","DeleteKeyRelative",NA
"T172","BL","ST","DeleteKeyRelative",NA
"T173","BL","DT","DeleteKeyRelative","0.18243086218917"
"T173","BL","ST","DeleteKeyRelative","0.0883652430044183"
"T174","BL","DT","DeleteKeyRelative","0.277563277563278"
"T174","BL","ST","DeleteKeyRelative","0.124537607891492"
"T175","BL","DT","DeleteKeyRelative","0.267460969597371"
"T175","BL","ST","DeleteKeyRelative","0.231"
"T176","BL","DT","DeleteKeyRelative","0.204852824184566"
"T176","BL","ST","DeleteKeyRelative","0.155824508320726"
"T178","BL","DT","DeleteKeyRelative","0.194938234407954"
"T178","BL","ST","DeleteKeyRelative","0.0957309184993532"
