"Subject","Condition","Session","CriterionScore","CharCount","WordCount","GrammarErrors","UsageErrors","MechanicErrors","StyleErrors","Key_No","GrammarErrorsRelative","MechanicErrorsRelative","UsageErrorsRelative","StyleErrorsRelative","DeleteKeyRelative"
"T003","IH","DT","4",2029,367,0,2,5,10,419,0,0.0136239782016349,0.00544959128065395,0.0272479564032698,0.206505667816658
"T003","IH","ST","1",694,126,1,0,2,12,62,0.00793650793650794,0.0158730158730159,0,0.0952380952380952,0.0893371757925072
"T005","IH","DT","3",1143,175,1,3,4,5,1235,0.00571428571428571,0.0228571428571429,0.0171428571428571,0.0285714285714286,1.08048993875766
"T005","IH","ST","2",871,146,0,1,8,8,191,0,0.0547945205479452,0.00684931506849315,0.0547945205479452,0.219288174512055
"T009","IH","DT","4",1485,226,0,1,3,8,893,0,0.0132743362831858,0.00442477876106195,0.0353982300884956,0.601346801346801
"T009","IH","ST","1",632,96,1,1,1,9,79,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.09375,0.125
"T011","IH","DT","1",576,93,2,0,7,4,654,0.021505376344086,0.0752688172043011,0,0.043010752688172,1.13541666666667
"T011","IH","ST","2",734,123,0,1,2,4,95,0,0.016260162601626,0.00813008130081301,0.032520325203252,0.129427792915531
"T016","BH","DT","4",1867,300,1,1,12,10,708,0.00333333333333333,0.04,0.00333333333333333,0.0333333333333333,0.379217996786288
"T016","BH","ST","1",493,86,1,2,1,0,54,0.0116279069767442,0.0116279069767442,0.0232558139534884,0,0.109533468559838
"T019","BH","DT","2",1022,166,3,2,9,19,1051,0.0180722891566265,0.0542168674698795,0.0120481927710843,0.114457831325301,1.02837573385519
"T019","BH","ST","1",583,110,1,0,1,17,112,0.00909090909090909,0.00909090909090909,0,0.154545454545455,0.192109777015437
"T021","BH","DT","3",1670,261,0,2,29,7,370,0,0.111111111111111,0.00766283524904215,0.0268199233716475,0.221556886227545
"T021","BH","ST","1",596,101,0,1,6,7,72,0,0.0594059405940594,0.0099009900990099,0.0693069306930693,0.120805369127517
"T031","IL","DT","4",1452,241,1,0,2,0,962,0.004149377593361,0.00829875518672199,0,0,0.662534435261708
