"Session","StartTime","EndTime"
"RestingBaseline",2018-07-19 10:44:36,2018-07-19 10:47:13
"BaselineWriting",2018-07-19 10:47:45,2018-07-19 10:52:45
"StressCondition",2018-07-19 10:54:33,2018-07-19 10:59:33
"DualTask",2018-07-19 11:00:06,2018-07-19 11:50:06
"Presentation",2018-07-19 11:59:17,2018-07-19 12:01:26
