"Session","StartTime","EndTime"
"RestingBaseline",2018-07-30 10:46:08,2018-07-30 10:48:26
"BaselineWriting",2018-07-30 10:49:16,2018-07-30 10:54:16
"StressCondition",2018-07-30 10:56:00,2018-07-30 11:01:00
"DualTask",2018-07-30 11:01:25,2018-07-30 11:51:25
"Presentation",NA,NA
