Blocking Variables,SuperSession.clock,SuperSession.Perinasal Perspiration,SuperSession.Keyboard Pressure,SuperSession.Keystroke Dynamics,SuperSession.Mouse Pressure,SuperSession.Mouse Dynamics,SuperSession.NLP Score,Presentation.clock,Presentation.Perinasal Perspiration,Presentation.Keyboard Pressure,Presentation.Keystroke Dynamics,Presentation.Mouse Pressure,Presentation.Mouse Dynamics,Presentation.NLP Score
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
male
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
female
