Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
8.164,Fri Jul 06 10:39:39.628 2018,0,0,0,0,
8.187,Fri Jul 06 10:39:39.651 2018,0,0,0,0,
8.212,Fri Jul 06 10:39:39.676 2018,0,0,0,0,
8.237,Fri Jul 06 10:39:39.701 2018,0,0,0,0,
8.262,Fri Jul 06 10:39:39.726 2018,0,0,0,0,
8.287,Fri Jul 06 10:39:39.751 2018,0,0,0,0,
8.313,Fri Jul 06 10:39:39.778 2018,0,0,0,0,
8.339,Fri Jul 06 10:39:39.803 2018,0,0,0,0,
8.364,Fri Jul 06 10:39:39.828 2018,0,0,0,0,
8.389,Fri Jul 06 10:39:39.853 2018,0,0,0,0,
8.414,Fri Jul 06 10:39:39.878 2018,0,0,0,0,
8.442,Fri Jul 06 10:39:39.906 2018,0,0,0,0,
8.467,Fri Jul 06 10:39:39.931 2018,0,0,0,0,
8.485,Fri Jul 06 10:39:39.949 2018,0,0,0,0,
8.488,Fri Jul 06 10:39:39.952 2018,0,0,0,0,
8.492,Fri Jul 06 10:39:39.956 2018,0,0,0,0,
8.496,Fri Jul 06 10:39:39.960 2018,0,0,0,0,
8.503,Fri Jul 06 10:39:39.967 2018,0,0,0,0,
8.506,Fri Jul 06 10:39:39.970 2018,0,0,0,0,
8.51,Fri Jul 06 10:39:39.974 2018,0,0,0,0,
8.514,Fri Jul 06 10:39:39.978 2018,0,0,0,0,
8.519,Fri Jul 06 10:39:39.983 2018,0,0,0,0,
8.523,Fri Jul 06 10:39:39.987 2018,0,0,0,0,
8.526,Fri Jul 06 10:39:39.991 2018,0,0,0,0,
8.53,Fri Jul 06 10:39:39.994 2018,0,0,0,0,
8.551,Fri Jul 06 10:39:40.015 2018,0,0,0,0,
8.575,Fri Jul 06 10:39:40.040 2018,0,0,0,0,
8.601,Fri Jul 06 10:39:40.065 2018,0,0,0,0,
8.626,Fri Jul 06 10:39:40.090 2018,0,0,0,0,
8.651,Fri Jul 06 10:39:40.115 2018,0,0,0,0,
8.665,Fri Jul 06 10:39:40.129 2018,0,0,0,0,
8.668,Fri Jul 06 10:39:40.133 2018,0,0,0,0,
8.672,Fri Jul 06 10:39:40.136 2018,0,0,0,0,
8.676,Fri Jul 06 10:39:40.141 2018,0,0,0,0,
8.685,Fri Jul 06 10:39:40.150 2018,0,0,0,0,
8.689,Fri Jul 06 10:39:40.154 2018,0,0,0,0,
8.693,Fri Jul 06 10:39:40.158 2018,0,0,0,0,
8.696,Fri Jul 06 10:39:40.160 2018,0,0,0,0,
8.701,Fri Jul 06 10:39:40.164 2018,0,0,0,0,
8.704,Fri Jul 06 10:39:40.168 2018,0,0,0,0,
8.707,Fri Jul 06 10:39:40.171 2018,0,0,0,0,
8.711,Fri Jul 06 10:39:40.174 2018,0,0,0,0,
8.717,Fri Jul 06 10:39:40.181 2018,0,0,0,0,
8.729,Fri Jul 06 10:39:40.193 2018,0,0,0,0,
8.754,Fri Jul 06 10:39:40.218 2018,0,0,0,0,
8.779,Fri Jul 06 10:39:40.243 2018,0,0,0,0,
8.804,Fri Jul 06 10:39:40.268 2018,0,0,0,0,
8.829,Fri Jul 06 10:39:40.293 2018,0,0,0,0,
8.854,Fri Jul 06 10:39:40.318 2018,0,0,0,0,
8.879,Fri Jul 06 10:39:40.344 2018,0,0,0,0,
8.904,Fri Jul 06 10:39:40.368 2018,0,0,0,0,
8.929,Fri Jul 06 10:39:40.394 2018,0,0,0,0,
8.954,Fri Jul 06 10:39:40.419 2018,0,0,0,0,
8.979,Fri Jul 06 10:39:40.444 2018,0,0,0,0,
9.004,Fri Jul 06 10:39:40.469 2018,0,0,0,0,
9.029,Fri Jul 06 10:39:40.494 2018,0,0,0,0,
9.052,Fri Jul 06 10:39:40.517 2018,0,0,0,0,
9.056,Fri Jul 06 10:39:40.521 2018,0,0,0,0,
9.06,Fri Jul 06 10:39:40.525 2018,0,0,0,0,
9.065,Fri Jul 06 10:39:40.530 2018,0,0,0,0,
9.069,Fri Jul 06 10:39:40.534 2018,0,0,0,0,
9.074,Fri Jul 06 10:39:40.538 2018,0,0,0,0,
9.079,Fri Jul 06 10:39:40.542 2018,0,0,0,0,
9.083,Fri Jul 06 10:39:40.546 2018,0,0,0,0,
9.087,Fri Jul 06 10:39:40.550 2018,0,0,0,0,
9.092,Fri Jul 06 10:39:40.555 2018,0,0,0,0,
9.095,Fri Jul 06 10:39:40.559 2018,0,0,0,0,
9.099,Fri Jul 06 10:39:40.563 2018,0,0,0,0,
9.104,Fri Jul 06 10:39:40.568 2018,0,0,0,0,
9.11,Fri Jul 06 10:39:40.573 2018,0,0,0,0,
9.121,Fri Jul 06 10:39:40.584 2018,0,0,0,0,
9.146,Fri Jul 06 10:39:40.610 2018,0,0,0,0,
9.171,Fri Jul 06 10:39:40.634 2018,0,0,0,0,
9.196,Fri Jul 06 10:39:40.660 2018,0,0,0,0,
9.22,Fri Jul 06 10:39:40.685 2018,0,0,0,0,
9.228,Fri Jul 06 10:39:40.692 2018,0,0,0,0,
9.232,Fri Jul 06 10:39:40.696 2018,0,0,0,0,
9.236,Fri Jul 06 10:39:40.700 2018,0,0,0,0,
9.24,Fri Jul 06 10:39:40.705 2018,0,0,0,0,
9.259,Fri Jul 06 10:39:40.723 2018,0,0,0,0,
9.263,Fri Jul 06 10:39:40.727 2018,0,0,0,0,
9.267,Fri Jul 06 10:39:40.731 2018,0,0,0,0,
9.27,Fri Jul 06 10:39:40.735 2018,0,0,0,0,
9.275,Fri Jul 06 10:39:40.739 2018,0,0,0,0,
9.278,Fri Jul 06 10:39:40.743 2018,0,0,0,0,
9.282,Fri Jul 06 10:39:40.746 2018,0,0,0,0,
9.286,Fri Jul 06 10:39:40.750 2018,0,0,0,0,
9.289,Fri Jul 06 10:39:40.753 2018,0,0,0,0,
9.296,Fri Jul 06 10:39:40.760 2018,0,0,0,0,
9.321,Fri Jul 06 10:39:40.785 2018,0,0,0,0,
9.346,Fri Jul 06 10:39:40.810 2018,0,0,0,0,
9.371,Fri Jul 06 10:39:40.835 2018,0,0,0,0,
9.396,Fri Jul 06 10:39:40.860 2018,0,0,0,0,
9.422,Fri Jul 06 10:39:40.886 2018,0,0,0,0,
9.447,Fri Jul 06 10:39:40.911 2018,0,0,0,0,
9.472,Fri Jul 06 10:39:40.936 2018,0,0,0,0,
9.522,Fri Jul 06 10:39:40.986 2018,0,0,0,0,
9.547,Fri Jul 06 10:39:41.011 2018,0,0,0,0,
9.572,Fri Jul 06 10:39:41.036 2018,0,0,0,0,
9.576,Fri Jul 06 10:39:41.040 2018,0,0,0,0,
9.58,Fri Jul 06 10:39:41.044 2018,0,0,0,0,
9.585,Fri Jul 06 10:39:41.049 2018,0,0,0,0,
9.588,Fri Jul 06 10:39:41.052 2018,0,0,0,0,
9.592,Fri Jul 06 10:39:41.057 2018,0,0,0,0,
9.606,Fri Jul 06 10:39:41.070 2018,0,0,0,0,
9.611,Fri Jul 06 10:39:41.075 2018,0,0,0,0,
9.616,Fri Jul 06 10:39:41.081 2018,0,0,0,0,
9.622,Fri Jul 06 10:39:41.086 2018,0,0,0,0,
9.627,Fri Jul 06 10:39:41.091 2018,0,0,0,0,
9.633,Fri Jul 06 10:39:41.097 2018,0,0,0,0,
9.639,Fri Jul 06 10:39:41.103 2018,0,0,0,0,
9.643,Fri Jul 06 10:39:41.107 2018,0,0,0,0,
9.648,Fri Jul 06 10:39:41.112 2018,0,0,0,0,
9.652,Fri Jul 06 10:39:41.117 2018,0,0,0,0,
9.657,Fri Jul 06 10:39:41.121 2018,0,0,0,0,
9.661,Fri Jul 06 10:39:41.125 2018,0,0,0,0,
9.665,Fri Jul 06 10:39:41.129 2018,0,0,0,0,
9.669,Fri Jul 06 10:39:41.133 2018,0,0,0,0,
9.673,Fri Jul 06 10:39:41.137 2018,0,0,0,0,
9.677,Fri Jul 06 10:39:41.141 2018,0,0,0,0,
9.681,Fri Jul 06 10:39:41.145 2018,0,0,0,0,
9.685,Fri Jul 06 10:39:41.149 2018,0,0,0,0,
9.689,Fri Jul 06 10:39:41.154 2018,0,0,0,0,
9.694,Fri Jul 06 10:39:41.158 2018,0,0,0,0,
9.724,Fri Jul 06 10:39:41.188 2018,0,0,0,0,
9.75,Fri Jul 06 10:39:41.214 2018,0,0,0,0,
9.755,Fri Jul 06 10:39:41.219 2018,0,0,0,0,
9.758,Fri Jul 06 10:39:41.223 2018,0,0,0,0,
9.763,Fri Jul 06 10:39:41.227 2018,0,0,0,0,
9.767,Fri Jul 06 10:39:41.232 2018,0,0,0,0,
9.771,Fri Jul 06 10:39:41.235 2018,0,0,0,0,
9.775,Fri Jul 06 10:39:41.239 2018,0,0,0,0,
9.779,Fri Jul 06 10:39:41.243 2018,0,0,0,0,
9.783,Fri Jul 06 10:39:41.247 2018,0,0,0,0,
9.788,Fri Jul 06 10:39:41.253 2018,0,0,0,0,
9.799,Fri Jul 06 10:39:41.264 2018,0,0,0,0,
9.809,Fri Jul 06 10:39:41.274 2018,0,0,0,0,
9.819,Fri Jul 06 10:39:41.283 2018,0,0,0,0,
9.829,Fri Jul 06 10:39:41.293 2018,0,0,0,0,
9.841,Fri Jul 06 10:39:41.304 2018,0,0,0,0,
9.851,Fri Jul 06 10:39:41.314 2018,0,0,0,0,
9.861,Fri Jul 06 10:39:41.324 2018,0,0,0,0,
9.871,Fri Jul 06 10:39:41.334 2018,0,0,0,0,
9.882,Fri Jul 06 10:39:41.346 2018,0,0,0,0,
9.892,Fri Jul 06 10:39:41.356 2018,0,0,0,0,
9.903,Fri Jul 06 10:39:41.367 2018,0,0,0,0,
9.913,Fri Jul 06 10:39:41.377 2018,0,0,0,0,
9.924,Fri Jul 06 10:39:41.388 2018,0,0,0,0,
9.934,Fri Jul 06 10:39:41.398 2018,0,0,0,0,
9.95,Fri Jul 06 10:39:41.414 2018,0,0,0,0,
9.958,Fri Jul 06 10:39:41.422 2018,0,0,0,0,
9.982,Fri Jul 06 10:39:41.446 2018,0,0,0,0,
10.018,Fri Jul 06 10:39:41.483 2018,0,0,0,0,
10.024,Fri Jul 06 10:39:41.488 2018,0,0,0,0,
10.066,Fri Jul 06 10:39:41.530 2018,0,0,0,0,
10.07,Fri Jul 06 10:39:41.534 2018,0,0,0,0,
10.074,Fri Jul 06 10:39:41.538 2018,0,0,0,0,
10.079,Fri Jul 06 10:39:41.543 2018,0,0,0,0,
10.083,Fri Jul 06 10:39:41.548 2018,0,0,0,0,
10.087,Fri Jul 06 10:39:41.551 2018,0,0,0,0,
10.094,Fri Jul 06 10:39:41.558 2018,0,0,0,0,
10.098,Fri Jul 06 10:39:41.563 2018,0,0,0,0,
10.106,Fri Jul 06 10:39:41.570 2018,0,0,0,0,
10.11,Fri Jul 06 10:39:41.575 2018,0,0,0,0,
10.118,Fri Jul 06 10:39:41.583 2018,0,0,0,0,
10.124,Fri Jul 06 10:39:41.589 2018,0,0,0,0,
10.128,Fri Jul 06 10:39:41.592 2018,0,0,0,0,
10.131,Fri Jul 06 10:39:41.596 2018,0,0,0,0,
10.139,Fri Jul 06 10:39:41.604 2018,0,0,0,0,
10.169,Fri Jul 06 10:39:41.633 2018,0,0,0,0,
10.173,Fri Jul 06 10:39:41.637 2018,0,0,0,0,
10.177,Fri Jul 06 10:39:41.641 2018,0,0,0,0,
10.181,Fri Jul 06 10:39:41.645 2018,0,0,0,0,
10.191,Fri Jul 06 10:39:41.655 2018,0,0,0,0,
10.201,Fri Jul 06 10:39:41.664 2018,0,0,0,0,
10.214,Fri Jul 06 10:39:41.678 2018,0,0,0,0,
10.222,Fri Jul 06 10:39:41.686 2018,0,0,0,0,
10.232,Fri Jul 06 10:39:41.696 2018,0,0,0,0,
10.242,Fri Jul 06 10:39:41.706 2018,0,0,0,0,
10.253,Fri Jul 06 10:39:41.717 2018,0,0,0,0,
10.263,Fri Jul 06 10:39:41.727 2018,0,0,0,0,
10.273,Fri Jul 06 10:39:41.737 2018,0,0,0,0,
10.283,Fri Jul 06 10:39:41.747 2018,0,0,0,0,
10.294,Fri Jul 06 10:39:41.758 2018,0,0,0,0,
10.304,Fri Jul 06 10:39:41.768 2018,0,0,0,0,
10.314,Fri Jul 06 10:39:41.778 2018,0,0,0,0,
10.325,Fri Jul 06 10:39:41.789 2018,0,0,0,0,
10.336,Fri Jul 06 10:39:41.800 2018,0,0,0,0,
10.346,Fri Jul 06 10:39:41.810 2018,0,0,0,0,
