Time,BtoB
,6000
,2040
,2440
,6000
,7200
,7360
,4440
,3280
,5560
,3320
,4760
,3440
,7040
,5080
,3400
,3560
,2080
,5960
,2640
,2840
,6160
,5320
,5360
,4040
,2880
,4240
,2240
,3720
,3960
,2680
,4120
,1640
,5280
,1760
,7440
,6760
,2880
,1120
,6440
,4480
,2800
,2280
,6840
,2280
,4320
,1840
,2400
,1480
,6680
,5360
,2080
,2440
,2400
,2120
,2320
,2120
,2080
,2880
,2760
,2120
,2200
,2360
,2640
,2600
,2480
,2960
,3560
,5520
,3040
,2480
,2600
,2720
,2320
,2520
,2400
,2760
,3040
,4320
,3640
,6720
,7040
,1160
,1480
,4160
,2760
,2240
,5920
,3360
,2120
,3120
,3600
,2760
,4120
,2800
,3040
,3120
,2680
,2720
,3400
,2960
,2920
,3000
,3120
,2600
,2640
,2920
,2320
,2400
,3880
,4400
,1880
,4720
,4720
,3200
,3160
,2960
,4880
,4360
,2080
,3960
,3640
,5280
,3720
,2920
,4080
,3280
,4360
,3520
,4000
,6240
,3960
,8840
,2560
,3520
,3400
,2840
,2760
,2960
,2640
,2600
,2720
,3280
,3160
,2720
,2560
,2920
,2800
,3160
,2000
,2520
,2960
,3320
,3160
,3040
,3040
,3080
,2680
,2840
,2600
,4440
,2200
,2600
,2520
,2280
,1960
,4680
,6600
,2880
,3240
,2040
,2960
,2400
,2400
,4560
,2040
,2440
,2280
,2600
,3400
,4840
,3960
,5080
,3040
,4480
,4680
,2240
,2280
,2280
,2880
,2040
,2600
,2400
,2320
,2560
,2040
,2480
,2480
,1960
,2440
,2200
,4480
,2360
,2120
,2440
,2120
,2360
,2680
,1720
,2640
,3280
,2320
,2080
,2480
,2480
,2240
,2000
,2640
,2160
,2280
,2200
,2440
,2080
,2200
,2040
,2320
,2200
,2000
,2520
,2640
,1760
,2440
,2240
,2480
,2240
,2320
,2720
,2360
,2360
,2120
,2400
,2240
,2360
,2280
,2920
,3320
,3080
,2800
,2760
,2200
,2240
,2760
,2480
,2880
,3640
,2000
,2640
,2280
,3040
,6200
,2400
,2520
,2360
,2360
,2600
,2640
,2360
,2520
,2240
,2480
,2400
,2280
,2480
,2640
,2160
,5240
,7160
,4240
,4040
,2560
,3920
,3640
,4240
,3240
,2360
,2800
,2320
,2480
,3240
,2520
,4040
,4360
,2440
,2520
,1360
,3480
,2360
,1400
,3200
,3120
,2440
,5080
,1720
,3440
,4120
,2680
,3240
,2600
,2760
,3560
,6720
,1680
,3160
,4400
,1520
,3600
,2440
,5360
,2080
,2640
,7280
,4160
,5280
,2240
,3880
,1600
,1920
,6520
,8760
,3640
,2720
,2600
,4840
,3320
,4720
,7960
,3920
,2280
,3120
,3360
,4120
,2440
,4320
,3640
,3200
,3120
,2960
,2680
,2840
,3240
,2080
,2720
,2840
,2760
,2040
,2560
,2760
,3040
,6360
,5480
,3520
,3320
,2920
,3240
,4280
,3280
,3120
,3000
