"CovertedTime","Time","NR_Perspiration","Perspiration","Session","EDA","HR"
2018-08-08 11:11:49,109,0.0029809629669755,0.003337461125,"RestingBaseline",0.460515,94.05
2018-08-08 11:11:50,110,0.00297787816092213,0.002778925,"RestingBaseline",0.460835,93.92
2018-08-08 11:11:51,111,0.00297459848174344,0.002278748875,"RestingBaseline",0.460835,93.8
2018-08-08 11:11:52,112,0.00297093231226332,0.0024182544375,"RestingBaseline",0.456995,93.68
2018-08-08 11:11:53,113,0.00296725524106045,0.0025964838,"RestingBaseline",0.4521945,93.57
2018-08-08 11:11:54,114,0.00296361808656084,0.0034883476,"RestingBaseline",0.448034,93.45
2018-08-08 11:11:55,115,0.00295982026017793,0.0030273795625,"RestingBaseline",0.445794,93.33
2018-08-08 11:11:56,116,0.00295602400822754,0.00311910686666667,"RestingBaseline",0.445474,93.2
2018-08-08 11:11:57,117,0.00295239069698397,0.00305084866666667,"RestingBaseline",0.44995425,93.1
2018-08-08 11:11:58,118,0.00294871772921106,0.0028958335,"RestingBaseline",0.443874,92.98
2018-08-08 11:11:59,119,0.00294516346808618,0.00253059773333333,"RestingBaseline",0.441954,92.88
2018-08-08 11:12:00,120,0.00294176695134119,0.0026605623125,"RestingBaseline",0.43811325,92.8
2018-08-08 11:12:01,121,0.00293855795234015,0.0030432334,"RestingBaseline",0.434913,92.73
2018-08-08 11:12:02,122,0.00293566274223851,0.00245156786666667,"RestingBaseline",0.433313,92.68
2018-08-08 11:12:03,123,0.00293316587082935,0.00227306753846154,"RestingBaseline",0.433633,92.67
2018-08-08 11:12:04,124,0.0029310453762618,0.00209539707692308,"RestingBaseline",0.433953,92.67
2018-08-08 11:12:05,125,0.00292892272460089,0.0025290385625,"RestingBaseline",0.433633,92.67
2018-08-08 11:12:06,126,0.00292705568836192,0.00299882346153846,"RestingBaseline",0.429473,92.68
2018-08-08 11:12:07,127,0.00292552253005485,0.00289942673333333,"RestingBaseline",0.428513,92.73
2018-08-08 11:12:08,128,0.00292417073786803,0.00288448306666667,"RestingBaseline",0.427873,92.77
2018-08-08 11:12:09,129,0.00292312892228286,0.00218048093333333,"RestingBaseline",0.42499275,92.8
2018-08-08 11:12:10,130,0.00292239942973282,0.00238910913333333,"RestingBaseline",0.42371225,92.82
2018-08-08 11:12:11,131,0.00292198118152461,0.00190119973333333,"RestingBaseline",0.421472,92.82
2018-08-08 11:12:12,132,0.00292186982285665,0.00311097073333333,"RestingBaseline",0.421472,92.82
2018-08-08 11:12:13,133,0.00292205793953166,0.00211361293333333,"RestingBaseline",0.422112,92.78
2018-08-08 11:12:14,134,0.0029225353434126,0.00227016193333333,"RestingBaseline",0.420512,92.73
2018-08-08 11:12:15,135,0.0029233206619925,0.0019916330625,"RestingBaseline",0.418912,92.67
2018-08-08 11:12:16,136,0.00292438223426149,0.00240905486666667,"RestingBaseline",0.417632,92.6
2018-08-08 11:12:17,137,0.00292566005332394,0.002536985,"RestingBaseline",0.417632,92.55
