Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,38.36649,Mon Aug 06 11:06:30.110 2018,50.89852,Mon Aug 06 11:06:42.642 2018
Session 2,78.7521,Mon Aug 06 11:07:10.495 2018,325.3697,Mon Aug 06 11:11:17.113 2018
Session 3,4649.035,Mon Aug 06 12:23:20.778 2018,4771.558,Mon Aug 06 12:25:23.301 2018
