Time,BtoB
,2310
,1510
,1190
,5570
,3410
,2980
,4140
,1810
,5040
,1580
,3070
,3150
,3160
,12890
,4340
,6290
,1850
,1270
,3270
,2990
,2130
,10390
,1560
,1170
,1410
,1340
,5260
,1220
,2480
,1430
,4840
,2530
,4080
,2120
,1930
,8660
,2600
,3000
,2680
,2530
,2670
,2670
,2500
,4050
,2730
,3170
,18430
,1860
,2260
,2350
,2880
,2650
,2500
,2860
,3440
,1420
,2510
,760
,1640
,2790
,1140
,2980
,2520
,2460
,2380
,960
,1600
,8970
,2990
,3130
,3140
,2690
,1670
,9000
,3130
,6260
,2570
,6620
,1050
,4640
,2490
,2880
,2190
,2520
,2370
,2300
,6380
,2890
,14490
,7750
,2840
,3040
,2720
,2720
,2700
,2720
,2620
,1270
,1420
,6770
,1490
,9150
,2920
,4620
,2720
,1270
,1670
,850
,2160
,1510
,2880
,2850
,2720
,3900
,2090
,680
,680
,2910
,5730
,1200
,3180
,6580
,1400
,4740
,1850
,8430
,1980
,2270
,10310
,2510
,5420
,18430
,9660
,2820
,3390
,3630
,1370
,440
,4790
,730
,2210
,9020
,2760
,1750
,1330
,2630
,2680
,7600
,3950
,9950
,8180
,2260
,3000
,2500
,3380
,3400
,3350
,3790
,2010
,3960
,3320
,3310
,3130
,3320
,3040
,6180
,2950
,2970
,1980
,410
,3310
,1460
,1540
,4360
,9130
,6420
,9280
,3290
,3270
,3160
,10200
,3680
,3350
,2770
,4570
,3440
,3310
,2940
,2910
,2820
,3640
,7030
,1560
,1450
,3260
,2750
,3550
,3050
,3160
,9070
,3290
,1490
,1370
,1450
,3410
,3180
,3540
,3450
,3650
,3920
,2540
,3030
,3440
,2970
,3190
,3180
,3180
,2460
,15160
,760
,11020
,2540
,1460
,11110
,10030
,1550
,1200
,2510
,2670
,3550
,2810
,4810
,2210
,2360
,2530
,2640
,1430
,2190
,2680
,2710
,2650
,2220
,3040
,2560
,1180
,3960
,1750
,1560
,2860
,1950
,3620
,1970
,940
,5140
,6030
,2830
,2870
,1320
,1290
,5960
,2290
,2600
,5680
,3440
,3250
,3480
,3040
,3280
,2570
,3350
,3070
,3300
,3180
,3330
,3020
,3250
,1810
,9810
,2900
,2690
,7980
,2800
,2750
,13940
,2920
,2800
,2950
,2650
,2430
,14570
,12230
,7450
,12710
,2760
,3280
,3780
,1550
,5810
,1510
,5970
,1760
,1110
,1830
,720
,5570
,3950
,1450
,2580
,2490
,4000
,3170
,1670
,1200
,1010
,2720
,2740
,2090
,2770
,950
,2510
,2000
,1550
,2380
,1720
,1150
,2640
,2510
,2610
,2790
,1130
,1260
,1240
,1470
,2690
,2630
,2120
,2670
,1330
,1310
,1080
,1220
,2820
,2380
,2030
,5870
,9850
,400
,14520
,9360
,4980
,5820
,3340
,4090
,1830
,740
,1700
,3600
,2180
,4250
,3360
,3930
,3010
,3010
,3180
,3100
,3130
,3180
,3550
,3030
,3410
,3160
,3300
,2810
,5540
,2850
,3310
,2790
,2520
,4080
,3250
,3620
,3450
,5320
,3510
,3220
,3090
,3060
,3160
,3110
,3340
,3010
,3390
,3190
,3330
,3280
,4050
,3510
,3800
,3630
,2740
,10940
,2700
,2980
,6790
,8190
,5990
,3110
,3190
,17430
,4170
,5140
,3470
,3260
,2980
,2910
,2860
,7360
,3190
,3260
,2930
,3070
,1820
,3390
,3190
,3290
,3100
,3370
,3080
,3190
,2980
,3270
,3100
,2670
,3420
,3190
,3170
,2990
,3210
,2980
,2990
,3090
,3020
,2990
,2930
,2870
,3170
,2970
,3000
,3010
,3630
,3450
,3130
,3110
,3130
,3220
,3230
,3290
,3240
,3030
,3160
,3130
,3410
,3120
,3260
,3050
,3240
,3240
,3150
,3480
,2940
,3280
,3260
,3240
,3870
,3500
,3440
,3020
,3290
,3660
,4100
,3240
,3110
,2870
,17750
,2690
,1660
,3320
,3540
,4910
,2700
,1360
,760
,2920
,1260
,1360
,3670
,3460
,1160
,2680
,5420
,2500
,1970
,5130
,4980
,2660
,2630
,2950
,2130
,8860
,2590
,2830
,2980
,2800
,2730
,2950
,3160
,3080
,2860
,2810
,2790
,3290
,3230
,2810
,3400
,2230
,1340
,970
,5290
,8260
,3080
,14440
,7750
,5900
,1360
,2840
,2730
,1180
,1620
,2230
,1960
,630
,3080
,2830
,670
,1950
,2740
,2060
,2620
,2630
,1770
,2370
,2590
,2380
,2640
,2510
,2310
,2540
,2430
,2840
,2460
,1660
,5450
,3260
,4020
,1120
,1070
,9090
,810
,4080
,4130
,4330
,1280
,1490
,3450
,2890
,940
,3500
,4120
,6900
,2130
,3410
,2290
,370
,2280
,1770
,1140
,2550
,4420
,22100
,2230
,4400
,2130
,6000
,6000
,3670
,2200
,2530
,2210
,2800
,2850
,3510
,10330
,3090
,2660
,2960
,1840
,2310
,2010
,1890
,3450
,3550
,2390
,3000
,2160
,2220
,8210
,5500
,4030
,2050
,2000
,550
,1800
,5090
,7900
,2890
,2460
,3010
,3080
,2320
,2950
,2370
,3390
,2130
,2650
,3720
,4050
,3210
,3030
,3560
,2880
,2790
,3260
,2420
,2910
,2460
,2690
,2960
,3100
,2570
,2950
,9230
,2560
,970
