"Session","StartTime","EndTime"
"RestingBaseline",2018-06-28 16:04:57,2018-06-28 16:07:29
"BaselineWriting",2018-06-28 16:08:02,2018-06-28 16:13:02
"StressCondition",2018-06-28 16:16:35,2018-06-28 16:21:35
"DualTask",2018-06-28 16:21:53,2018-06-28 17:11:53
"Presentation",2018-06-28 17:28:24,2018-06-28 17:29:16
