Time,BtoB
,6000
,6040
,3760
,3680
,8560
,11040
,7880
,6360
,5720
,6240
,5040
,3440
,5360
,5000
,3720
,1960
,2120
,4200
,5920
,7120
,4200
,2360
,5160
,6840
,3320
,3480
,2320
,5480
,3800
,2000
,4760
,6120
,2080
,1800
,7400
,3200
,2280
,2480
,1520
,1640
,1440
,2400
,5320
,3680
,3400
,1760
,2240
,2160
,1960
,3160
,1720
,1440
,2120
,2080
,2320
,2480
,2240
,1800
,2080
,5080
,1480
,3600
,2080
,2920
,3400
,2600
,2200
,1720
,2120
,1680
,2520
,4440
,2120
,2040
,1880
,1840
,2720
,1920
,3680
,2000
,2680
,2360
,3440
,2080
,3360
,3080
,2640
,2440
,3200
,3000
,2720
,2920
,2840
,2560
,2640
,3080
,2960
,2600
,3400
,2840
,2800
,2520
,2720
,2880
,3000
,2720
,2920
,2880
,3000
,5040
,3760
,3280
,3000
,2960
,3040
,2160
,3720
,5840
,1920
,3240
,2520
,2280
,2920
,2680
,2600
,2720
,2360
,2200
,3560
,2760
,3160
,3000
,3080
,2800
,3080
,2960
,3520
,2400
,5520
,4640
,2960
,2320
,3320
,3080
,2920
,2920
,2560
,3600
,3000
,2840
,3840
,5480
,2880
,2680
,2640
,1960
,2800
,2640
,2800
,2520
,2640
,3040
,2920
,3040
,2760
,3080
,2520
,2840
,3280
,1800
,3120
,3000
,2800
,2720
,2800
,2920
,2600
,2600
,2560
,2680
,2600
,2560
,2880
,2800
,2680
,2720
,2880
,2800
,3080
,3120
,3000
,4280
,3640
,3480
,3160
,2920
,2880
,2960
,2920
,3240
,3280
,3320
,4640
,2960
,3080
,2720
,3040
,3000
,3600
,3040
,2600
,3000
,3040
,3280
,3840
,3160
,3200
,3360
,5120
,2840
,1600
,2960
,2520
,2320
,3600
,1880
,2480
,2560
,2520
,2400
,2960
,3360
,1960
,2560
,2200
,4040
,3480
,3760
,3000
,3560
,3840
,2360
,2000
,2840
,2320
,2000
,2120
,2400
,2080
,2080
,2000
,2760
,2960
,2840
,1920
,2200
,2120
,2280
,2080
,2920
,2600
,2440
,2400
,2760
,2520
,2400
,2200
,2480
,2200
,2280
,2520
,1840
,2480
,2280
,2400
,2200
,2000
,3240
,2680
,2160
,2360
,2280
,2240
,2400
,2240
,2480
,2240
,2680
,2120
,2360
,1920
,2240
,2120
,2480
,2000
,2400
,2240
,3000
,2600
,3760
,2080
,2240
,2160
,2120
,2200
,1960
,2480
,2840
,2280
,2480
,2080
,2200
,2440
,2720
,2680
,2760
,3760
,2920
,2200
,2200
,3200
,2080
,2440
,4640
,5560
,4960
,4720
,4520
,3960
,3000
