Session,StartTime,startTimestamp,EndTime,EndTimestamp
Session 1,9.077295,Tue Jul 10 16:47:38.805 2018,188.4563,Tue Jul 10 16:50:38.184 2018
Session 2,4232.501,Tue Jul 10 17:58:02.229 2018,4718.056,Tue Jul 10 18:06:07.784 2018
